batch_idx,n_new,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
24,10,0.4040,149.0000,0.3380,0.3804,0.4828,90,0,37,0.027543,120,5.3,50.1,82.0
25,10,0.4000,156.0000,0.3200,0.3895,0.4778,90,0,36,0.030058,123,9.9,48.2,81.5
26,10,0.4037,161.0000,0.3418,0.3838,0.4783,90,0,34,0.038648,128,3.4,59.8,73.4
27,10,0.4214,162.0000,0.3580,0.4078,0.4896,90,0,36,0.023747,137,2.2,59.4,78.7
28,10,0.4310,165.0000,0.3647,0.4259,0.4948,90,0,41,0.038502,144,2.5,52.0,89.3
29,10,0.4400,168.0000,0.3750,0.4234,0.5149,90,0,45,0.031988,151,3.4,51.5,396.2
30,10,0.4419,173.0000,0.3913,0.4196,0.5094,90,4,49,0.036331,160,3.2,48.5,408.5
31,10,0.4437,178.0000,0.3980,0.4159,0.5138,90,2,53,0.038703,167,12.1,47.4,416.7
32,10,0.4455,183.0000,0.3981,0.4188,0.5182,90,0,53,0.040293,172,8.2,58.7,417.2
33,10,0.4441,189.0000,0.3905,0.4180,0.5221,90,1,55,0.032883,177,4.8,50.3,414.9
34,10,0.4486,193.0000,0.4074,0.4252,0.5130,90,0,60,0.032167,183,2.6,53.3,403.7
35,10,0.4528,197.0000,0.4107,0.4275,0.5214,90,1,62,0.034670,190,5.8,46.4,408.0
36,10,0.4568,201.0000,0.4123,0.4380,0.5210,90,0,62,0.021107,196,9.1,40.6,408.1
37,10,0.4579,206.0000,0.4052,0.4500,0.5161,90,1,59,0.024214,202,7.6,59.1,414.0
38,10,0.4564,212.0000,0.3934,0.4577,0.5159,90,1,57,0.023697,207,6.9,48.4,298.5
39,10,0.4575,217.0000,0.3920,0.4694,0.5078,90,2,56,0.022877,214,4.4,83.6,147.2
40,10,0.4561,223.0000,0.3937,0.4702,0.5000,90,0,55,0.018726,218,2.4,54.4,178.3
41,10,0.4571,228.0000,0.3969,0.4675,0.5037,90,2,57,0.030091,225,4.2,46.0,127.5
42,10,0.4605,232.0000,0.3881,0.4777,0.5108,90,0,56,0.014736,231,2.4,49.6,99.0
43,10,0.4705,233.0000,0.3926,0.4969,0.5141,90,0,60,0.018723,240,2.4,38.3,97.3
44,10,0.4689,239.0000,0.3929,0.4940,0.5141,90,0,58,0.017787,244,5.9,36.4,98.6
45,10,0.4717,243.0000,0.3916,0.5000,0.5175,90,0,57,0.020004,250,2.3,41.6,88.5
46,10,0.4702,249.0000,0.3946,0.4972,0.5137,90,0,53,0.017583,254,11.0,28.5,89.0
47,10,0.4688,255.0000,0.3893,0.4972,0.5133,90,0,52,0.013968,258,2.4,34.6,89.0
48,10,0.4633,263.0000,0.3766,0.4973,0.5099,90,0,50,0.013780,260,4.9,27.0,89.1
45,10,0.4717,243.0000,0.3916,0.5000,0.5175,90,0,57,0.017178,250,2.5,42.2,88.7
46,10,0.4702,249.0000,0.3946,0.4972,0.5137,90,0,53,0.017423,254,11.3,28.5,86.5
47,10,0.4688,255.0000,0.3893,0.4972,0.5133,90,0,52,0.017541,258,2.4,38.8,88.7
48,10,0.4633,263.0000,0.3766,0.4973,0.5099,90,0,50,0.012260,260,4.8,27.6,88.7
49,10,0.4660,267.0000,0.3774,0.5027,0.5130,90,0,50,0.015012,266,3.4,34.2,436.2
50,10,0.4667,272.0000,0.3704,0.5079,0.5157,90,0,51,0.012659,271,3.2,36.1,436.0
51,10,0.4673,277.0000,0.3675,0.5156,0.5123,90,0,51,0.013272,276,3.9,30.5,436.1
52,10,0.4660,283.0000,0.3663,0.5206,0.5061,90,3,52,0.021586,283,6.7,34.7,436.0
53,10,0.4667,288.0000,0.3642,0.5202,0.5089,90,0,48,0.019473,288,2.1,42.7,423.5
54,10,0.4691,292.0000,0.3652,0.5224,0.5146,90,1,51,0.025005,295,5.8,40.6,436.1
55,10,0.4714,296.0000,0.3681,0.5222,0.5200,90,1,52,0.021561,302,3.0,49.1,436.5
56,10,0.4719,301.0000,0.3636,0.5268,0.5225,90,0,53,0.015451,307,10.8,37.3,436.1
57,10,0.4724,306.0000,0.3670,0.5238,0.5220,90,0,53,0.013737,312,3.7,38.3,436.0
58,10,0.4746,310.0000,0.3665,0.5280,0.5243,90,1,57,0.020538,319,3.6,36.4,437.7
59,10,0.4767,314.0000,0.3711,0.5278,0.5263,90,0,57,0.014603,325,2.5,37.5,97.8
60,10,0.4754,320.0000,0.3687,0.5297,0.5233,90,0,54,0.024293,329,5.6,39.0,118.8
61,10,0.4790,323.0000,0.3663,0.5297,0.5377,90,0,54,0.017628,336,15.1,43.2,185.3
62,10,0.4762,330.0000,0.3623,0.5291,0.5350,90,0,53,0.013431,339,7.2,51.2,191.1
63,10,0.4813,332.0000,0.3714,0.5330,0.5369,90,1,57,0.020784,348,4.9,62.2,191.3
64,10,0.4815,337.0000,0.3738,0.5304,0.5388,90,0,56,0.015709,353,27.8,56.0,197.5
65,10,0.4818,342.0000,0.3807,0.5281,0.5355,90,1,56,0.029897,359,4.5,84.9,201.9
66,10,0.4836,346.0000,0.3767,0.5342,0.5399,90,0,57,0.018038,365,5.4,76.4,195.7
67,10,0.4853,350.0000,0.3750,0.5336,0.5459,90,1,59,0.016840,372,2.5,84.9,200.9
68,10,0.4870,354.0000,0.3789,0.5331,0.5475,90,0,59,0.016920,378,5.3,79.9,198.8
69,10,0.4843,361.0000,0.3750,0.5306,0.5471,90,0,55,0.014047,381,5.9,87.1,203.9
70,10,0.4859,365.0000,0.3787,0.5320,0.5467,90,1,58,0.017644,388,2.8,85.0,204.0
71,10,0.4861,370.0000,0.3797,0.5317,0.5455,90,0,56,0.021081,393,13.3,69.0,246.4
72,10,0.4863,375.0000,0.3849,0.5315,0.5401,90,1,58,0.024572,399,2.6,78.2,180.4
73,10,0.4851,381.0000,0.3802,0.5253,0.5477,90,0,54,0.018656,403,4.5,78.7,217.8
74,10,0.4867,385.0000,0.3852,0.5290,0.5425,90,1,55,0.036226,410,2.9,56.1,214.1
75,10,0.4882,389.0000,0.3871,0.5323,0.5422,90,0,56,0.027215,416,2.6,60.0,216.8
76,10,0.4857,396.0000,0.3849,0.5301,0.5397,90,0,53,0.018366,419,4.1,59.0,214.6
77,10,0.4859,401.0000,0.3858,0.5351,0.5333,90,0,51,0.019235,424,10.4,53.5,217.2
78,10,0.4873,405.0000,0.3876,0.5365,0.5349,90,1,51,0.020333,431,2.4,58.1,128.3
79,10,0.4863,411.0000,0.3831,0.5379,0.5344,90,0,51,0.013706,435,4.6,46.4,120.8
80,10,0.4914,412.0000,0.3902,0.5396,0.5410,90,0,54,0.011839,444,2.7,47.0,97.2
81,10,0.4927,416.0000,0.3933,0.5426,0.5387,90,0,55,0.019070,450,2.3,32.8,104.2
82,10,0.4928,421.0000,0.3919,0.5426,0.5418,90,0,55,0.013520,455,27.7,33.4,104.1
83,10,0.4976,422.0000,0.3964,0.5486,0.5451,90,1,61,0.015301,465,2.4,56.9,106.3
84,10,0.4953,429.0000,0.3957,0.5479,0.5393,90,0,57,0.010216,468,2.9,57.4,110.7
85,10,0.4988,431.0000,0.4021,0.5510,0.5404,90,0,59,0.008327,476,3.2,57.3,107.2
86,10,0.4977,437.0000,0.4000,0.5541,0.5363,90,0,59,0.009450,480,12.6,41.3,113.3
87,10,0.4977,442.0000,0.3993,0.5570,0.5340,90,2,61,0.005398,487,8.5,36.9,110.0
88,10,0.5000,445.0000,0.4027,0.5567,0.5387,90,1,62,0.012496,495,3.1,37.8,213.7
89,10,0.4978,452.0000,0.4033,0.5567,0.5333,90,0,61,0.015562,498,4.0,39.5,204.2
90,10,0.5000,455.0000,0.4073,0.5639,0.5281,90,2,60,0.015344,507,3.9,40.8,229.4
91,10,0.5011,459.0000,0.4085,0.5649,0.5294,90,0,59,0.026301,513,4.7,42.0,320.7
92,10,0.5011,464.0000,0.4072,0.5669,0.5275,90,0,59,0.016240,518,2.7,33.5,224.1
93,10,0.5021,468.0000,0.4072,0.5719,0.5240,90,0,55,0.017015,524,2.4,33.9,307.0
94,10,0.5021,473.0000,0.4065,0.5759,0.5205,90,0,56,0.013837,529,4.7,33.6,306.7
95,10,0.5042,476.0000,0.4084,0.5780,0.5217,90,0,55,0.019919,536,10.3,35.5,375.0
96,10,0.5072,478.0000,0.4121,0.5813,0.5231,90,0,59,0.022894,544,3.1,41.3,314.0
97,10,0.5061,484.0000,0.4140,0.5799,0.5183,90,0,58,0.013083,548,2.8,40.6,311.7
98,10,0.5091,486.0000,0.4140,0.5831,0.5225,90,1,60,0.014014,557,2.3,38.5,312.2
99,10,0.5100,490.0000,0.4159,0.5879,0.5178,90,0,63,0.008497,563,3.5,33.1,277.9
100,10,0.5109,494.0000,0.4151,0.5897,0.5191,90,1,63,0.010876,570,6.4,29.6,317.9
101,10,0.5147,495.0000,0.4224,0.5932,0.5203,90,1,66,0.010252,580,3.0,35.9,314.6
102,10,0.5146,500.0000,0.4211,0.5917,0.5216,90,0,66,0.005289,585,3.0,34.6,315.5
103,10,0.5163,503.0000,0.4233,0.5929,0.5230,90,0,67,0.016833,592,5.8,36.4,268.0
104,10,0.5152,509.0000,0.4212,0.5919,0.5229,90,0,66,0.007421,596,7.4,37.8,309.0
105,10,0.5179,511.0000,0.4217,0.5968,0.5242,90,0,67,0.012801,604,4.9,33.4,205.3
106,10,0.5206,513.0000,0.4251,0.5974,0.5281,90,0,66,0.009273,612,4.3,35.2,295.2
107,10,0.5222,516.0000,0.4239,0.5979,0.5331,90,0,69,0.007732,619,4.4,35.5,381.4
108,10,0.5229,520.0000,0.4226,0.5995,0.5341,90,0,67,0.009351,625,2.8,37.1,440.3
109,10,0.5227,525.0000,0.4243,0.6005,0.5297,90,0,65,0.014221,630,1.7,35.6,439.8
110,10,0.5243,528.0000,0.4248,0.6035,0.5307,90,0,66,0.008682,637,2.6,30.6,439.8
111,10,0.5241,533.0000,0.4252,0.6030,0.5293,90,0,62,0.006101,642,3.6,30.6,435.5
112,10,0.5257,536.0000,0.4290,0.6069,0.5265,90,0,64,0.013953,649,3.7,31.8,268.1
113,10,0.5263,540.0000,0.4294,0.6044,0.5302,90,1,64,0.006333,656,2.3,28.5,435.6
114,10,0.5278,543.0000,0.4294,0.6062,0.5312,90,1,68,0.017504,664,2.0,26.3,439.7
115,10,0.5267,549.0000,0.4274,0.6066,0.5297,90,0,64,0.009450,668,2.4,23.7,437.3
116,10,0.5256,555.0000,0.4237,0.6056,0.5308,90,1,61,0.006880,673,3.4,21.5,439.9
117,10,0.5263,559.0000,0.4242,0.6084,0.5291,90,1,60,0.011129,680,7.6,22.2,301.9
118,10,0.5244,566.0000,0.4230,0.6074,0.5250,90,0,57,0.020699,683,2.8,25.9,165.2
119,10,0.5250,570.0000,0.4230,0.6082,0.5248,90,1,59,0.009079,690,1.6,28.0,165.5
120,10,0.5256,574.0000,0.4238,0.6086,0.5258,90,0,58,0.020560,696,4.6,25.4,168.5
121,10,0.5262,578.0000,0.4258,0.6076,0.5268,90,0,59,0.016800,702,5.2,27.8,142.4
122,10,0.5276,581.0000,0.4262,0.6106,0.5267,90,0,59,0.011860,709,9.5,28.1,152.2
123,10,0.5274,586.0000,0.4228,0.6140,0.5253,90,0,56,0.019001,714,5.7,36.4,151.4
124,10,0.5288,589.0000,0.4243,0.6161,0.5251,90,0,56,0.012008,721,4.1,43.7,157.2
125,10,0.5294,593.0000,0.4220,0.6172,0.5272,90,0,57,0.010255,727,5.6,45.4,195.4
126,10,0.5283,599.0000,0.4225,0.6154,0.5257,90,0,56,0.009616,731,4.5,42.2,233.1
127,10,0.5297,602.0000,0.4271,0.6128,0.5289,90,0,57,0.011185,738,6.1,42.7,328.0
128,10,0.5310,605.0000,0.4274,0.6147,0.5298,90,0,61,0.011068,745,3.0,42.3,230.3
129,10,0.5308,610.0000,0.4256,0.6172,0.5285,90,1,61,0.018848,751,7.6,46.8,232.9
130,10,0.5313,614.0000,0.4264,0.6203,0.5261,90,0,61,0.026045,757,3.8,46.1,232.8
131,10,0.5318,618.0000,0.4267,0.6186,0.5291,90,0,61,0.026969,763,6.7,44.4,241.6
132,10,0.5308,624.0000,0.4267,0.6130,0.5311,90,0,58,0.021978,767,2.4,41.6,440.0
133,10,0.5313,628.0000,0.4297,0.6109,0.5320,90,0,59,0.017229,773,3.2,38.7,440.0
134,10,0.5326,631.0000,0.4300,0.6112,0.5349,90,0,59,0.016963,780,6.1,38.9,440.0
135,10,0.5324,636.0000,0.4300,0.6079,0.5368,90,0,58,0.013840,785,1.8,41.2,439.9
136,10,0.5350,637.0000,0.4304,0.6102,0.5418,90,0,62,0.016485,794,4.9,38.5,130.5
137,10,0.5362,640.0000,0.4336,0.6101,0.5427,90,1,63,0.016561,802,3.2,36.0,272.7
138,10,0.5353,646.0000,0.4318,0.6109,0.5412,90,1,61,0.019263,807,3.8,36.5,439.9
139,10,0.5364,649.0000,0.4346,0.6115,0.5411,90,0,62,0.017021,814,2.8,33.7,439.8
140,10,0.5369,653.0000,0.4346,0.6152,0.5375,90,0,62,0.014224,820,1.8,33.4,439.8
141,10,0.5373,657.0000,0.4335,0.6163,0.5381,90,1,62,0.007454,827,2.1,27.4,439.8
142,10,0.5371,662.0000,0.4338,0.6161,0.5369,90,1,63,0.007437,833,5.0,27.4,241.8
143,10,0.5368,667.0000,0.4328,0.6151,0.5369,90,0,62,0.009504,838,2.7,28.7,238.5
140,10,0.5369,653.0000,0.4346,0.6152,0.5375,90,0,62,0.014664,820,2.1,33.5,441.1
141,10,0.5380,656.0000,0.4335,0.6163,0.5402,90,1,63,0.006439,828,2.1,26.8,444.3
142,10,0.5378,661.0000,0.4338,0.6161,0.5389,90,0,63,0.003542,833,4.9,27.7,175.6
143,10,0.5375,666.0000,0.4328,0.6151,0.5389,90,1,63,0.008770,839,2.7,29.3,242.8
144,10,0.5366,672.0000,0.4310,0.6158,0.5375,90,0,60,0.005554,843,9.1,25.4,170.8
145,10,0.5384,674.0000,0.4313,0.6189,0.5385,90,0,63,0.006817,851,4.9,31.9,170.8
146,10,0.5408,675.0000,0.4327,0.6223,0.5402,90,0,63,0.003179,860,3.0,45.0,239.1
147,10,0.5419,678.0000,0.4368,0.6225,0.5398,90,0,63,0.021718,867,2.7,40.6,161.8
148,10,0.5409,684.0000,0.4347,0.6217,0.5395,90,0,63,0.013641,871,4.2,41.1,88.1
149,10,0.5413,688.0000,0.4336,0.6243,0.5382,90,0,62,0.010501,877,2.3,32.3,85.8
150,10,0.5404,694.0000,0.4346,0.6232,0.5370,90,0,60,0.011601,881,6.9,31.9,89.8
151,10,0.5388,701.0000,0.4319,0.6239,0.5347,90,0,56,0.014489,884,3.6,35.9,104.0
152,10,0.5392,705.0000,0.4312,0.6248,0.5355,90,2,58,0.018289,892,3.3,48.0,132.7
153,10,0.5390,710.0000,0.4308,0.6243,0.5363,90,0,58,0.019823,897,3.0,46.4,171.1
154,10,0.5394,714.0000,0.4315,0.6246,0.5370,90,0,60,0.019548,903,5.0,33.8,242.9
155,10,0.5404,717.0000,0.4327,0.6250,0.5377,90,1,60,0.019981,911,1.6,32.6,252.9
156,10,0.5408,721.0000,0.4330,0.6263,0.5373,90,0,57,0.024778,917,4.9,37.2,252.3
157,10,0.5411,725.0000,0.4356,0.6254,0.5370,90,0,56,0.018745,923,4.3,38.9,255.6
158,10,0.5409,730.0000,0.4346,0.6254,0.5360,90,1,56,0.015386,929,2.3,39.0,249.5
159,10,0.5413,734.0000,0.4346,0.6269,0.5348,90,0,56,0.017479,935,2.6,37.9,257.6
160,10,0.5404,740.0000,0.4361,0.6250,0.5328,90,0,55,0.009382,939,3.5,31.4,262.1
161,10,0.5420,742.0000,0.4398,0.6252,0.5344,90,0,59,0.020487,947,3.6,29.7,268.9
162,10,0.5423,746.0000,0.4379,0.6282,0.5333,90,0,59,0.010817,953,6.7,30.8,269.0
163,10,0.5421,751.0000,0.4360,0.6296,0.5323,90,3,62,0.021396,961,4.7,31.2,298.1
164,10,0.5418,756.0000,0.4384,0.6274,0.5313,90,0,61,0.012263,966,3.1,29.3,297.4
165,10,0.5434,758.0000,0.4384,0.6289,0.5330,90,0,62,0.010321,974,2.0,30.9,298.6
166,10,0.5431,763.0000,0.4387,0.6266,0.5345,90,0,60,0.012554,979,4.7,28.1,296.2
167,10,0.5429,768.0000,0.4387,0.6269,0.5325,90,0,58,0.011153,984,1.9,28.4,290.2
168,10,0.5432,772.0000,0.4423,0.6256,0.5323,90,0,59,0.021631,990,4.1,28.3,290.7
169,10,0.5435,776.0000,0.4426,0.6250,0.5331,90,1,60,0.016116,997,9.4,29.4,294.7
170,10,0.5433,781.0000,0.4426,0.6224,0.5346,90,0,61,0.017724,1002,1.9,33.3,195.8
171,10,0.5442,784.0000,0.4449,0.6226,0.5352,90,0,60,0.012114,1009,2.3,33.5,97.7
172,10,0.5457,786.0000,0.4451,0.6254,0.5358,90,0,61,0.020766,1017,4.2,30.2,90.5
173,10,0.5466,789.0000,0.4454,0.6267,0.5365,90,1,64,0.014931,1025,2.9,30.7,92.3
174,10,0.5463,794.0000,0.4435,0.6263,0.5378,90,0,63,0.014471,1030,2.6,30.0,194.4
175,10,0.5460,799.0000,0.4426,0.6281,0.5351,90,0,60,0.013633,1035,6.5,30.7,299.9
176,10,0.5469,802.0000,0.4419,0.6308,0.5350,90,0,61,0.013334,1042,8.8,27.0,188.6
177,10,0.5466,807.0000,0.4401,0.6315,0.5348,90,1,62,0.008918,1048,4.2,39.5,296.3
178,10,0.5469,811.0000,0.4394,0.6320,0.5361,90,0,62,0.015959,1054,3.8,35.7,297.4
179,10,0.5467,816.0000,0.4385,0.6313,0.5366,90,1,62,0.009568,1060,4.6,32.9,297.2
180,10,0.5470,820.0000,0.4385,0.6321,0.5356,90,1,63,0.011102,1067,1.8,32.9,296.8
181,10,0.5473,824.0000,0.4388,0.6322,0.5361,90,0,62,0.008023,1073,2.2,35.2,297.3
182,10,0.5475,828.0000,0.4411,0.6310,0.5366,90,0,60,0.008656,1079,2.6,30.4,296.5
183,10,0.5484,831.0000,0.4413,0.6322,0.5372,90,0,60,0.010628,1086,4.0,30.0,297.8
184,10,0.5476,837.0000,0.4395,0.6323,0.5362,90,0,59,0.006014,1090,3.0,39.4,146.2
185,10,0.5489,839.0000,0.4398,0.6333,0.5389,90,0,62,0.005629,1098,3.8,28.7,302.9
186,10,0.5465,848.0000,0.4389,0.6312,0.5348,90,0,55,0.005505,1099,3.4,24.1,301.8
187,10,0.5452,855.0000,0.4363,0.6283,0.5362,90,0,52,0.008281,1102,4.2,24.9,301.9
188,10,0.5450,860.0000,0.4368,0.6284,0.5353,90,0,51,0.010734,1107,9.4,25.6,303.2
189,10,0.5458,863.0000,0.4359,0.6301,0.5359,90,0,53,0.007433,1114,2.0,27.3,301.9
190,10,0.5476,864.0000,0.4373,0.6326,0.5373,90,0,56,0.009901,1123,4.0,31.8,316.9
191,10,0.5479,868.0000,0.4355,0.6342,0.5372,90,0,56,0.010667,1129,3.2,32.4,316.9
192,10,0.5492,870.0000,0.4366,0.6340,0.5400,90,0,58,0.013901,1137,3.0,32.6,366.3
193,10,0.5500,873.0000,0.4377,0.6355,0.5390,90,1,59,0.013547,1145,3.6,34.9,305.6
194,10,0.5503,877.0000,0.4377,0.6345,0.5403,90,0,61,0.010064,1151,2.0,35.7,302.7
195,10,0.5505,881.0000,0.4380,0.6346,0.5407,90,0,59,0.007016,1157,6.2,33.6,95.9
196,10,0.5503,886.0000,0.4402,0.6338,0.5396,90,0,62,0.007583,1162,2.9,34.5,92.0
197,10,0.5510,889.0000,0.4395,0.6347,0.5415,90,0,66,0.016026,1169,3.9,35.2,90.4
198,10,0.5513,893.0000,0.4398,0.6335,0.5434,90,0,67,0.006707,1175,4.4,29.3,96.7
199,10,0.5510,898.0000,0.4381,0.6324,0.5452,90,0,65,0.007237,1180,3.8,34.1,290.7
200,10,0.5517,901.0000,0.4373,0.6335,0.5464,90,0,63,0.007063,1187,2.7,30.6,222.0
201,10,0.5520,905.0000,0.4394,0.6328,0.5461,90,0,63,0.008206,1193,3.8,30.0,290.2
202,10,0.5507,912.0000,0.4377,0.6320,0.5449,90,0,58,0.003582,1196,2.8,34.5,298.3
203,10,0.5515,915.0000,0.4369,0.6335,0.5455,90,0,58,0.011890,1203,3.8,29.5,289.3
204,10,0.5517,919.0000,0.4380,0.6349,0.5437,90,0,58,0.011440,1209,2.3,32.4,294.1
205,10,0.5510,925.0000,0.4390,0.6338,0.5420,90,0,56,0.003565,1213,2.8,27.9,291.7
206,10,0.5507,930.0000,0.4374,0.6342,0.5422,90,0,56,0.003272,1218,7.7,28.1,291.3
207,10,0.5495,937.0000,0.4384,0.6326,0.5398,90,0,52,0.003745,1221,3.5,26.7,294.0
208,10,0.5493,942.0000,0.4397,0.6311,0.5402,90,0,51,0.006873,1226,3.0,28.2,295.3
209,10,0.5500,945.0000,0.4399,0.6333,0.5394,90,0,53,0.004565,1233,2.5,25.8,175.4
210,10,0.5493,951.0000,0.4393,0.6326,0.5391,90,0,50,0.007036,1237,9.9,25.7,352.4
211,10,0.5500,954.0000,0.4414,0.6340,0.5376,90,0,51,0.014132,1244,2.1,31.5,388.8
212,10,0.5502,958.0000,0.4406,0.6338,0.5388,90,0,54,0.016314,1250,2.8,34.6,350.8
213,10,0.5509,961.0000,0.4406,0.6336,0.5405,90,0,54,0.006652,1257,1.8,33.6,347.2
214,10,0.5512,965.0000,0.4408,0.6349,0.5396,90,2,56,0.008616,1265,2.5,33.3,356.5
215,10,0.5509,970.0000,0.4410,0.6347,0.5388,90,0,57,0.004565,1270,2.6,29.6,352.3
216,10,0.5521,972.0000,0.4420,0.6353,0.5404,90,1,61,0.004003,1279,3.3,27.9,388.8
217,10,0.5532,974.0000,0.4420,0.6371,0.5409,90,0,66,0.004518,1287,1.9,27.6,236.7
218,10,0.5534,978.0000,0.4412,0.6376,0.5413,90,0,67,0.006806,1293,3.4,26.5,349.9
219,10,0.5545,980.0000,0.4432,0.6379,0.5425,90,0,67,0.004645,1301,2.1,26.9,352.1
220,10,0.5548,984.0000,0.4434,0.6400,0.5404,90,1,70,0.003215,1308,2.4,19.3,108.1
221,10,0.5541,990.0000,0.4434,0.6386,0.5395,90,0,67,0.002728,1312,1.9,19.5,114.9
222,10,0.5534,996.0000,0.4434,0.6395,0.5362,90,0,64,0.002844,1316,1.8,18.7,101.1
223,10,0.5549,997.0000,0.4446,0.6420,0.5367,90,0,66,0.007133,1325,5.9,18.9,278.4
224,10,0.5538,1004.0000,0.4433,0.6409,0.5360,90,0,63,0.011499,1328,2.9,21.5,283.9
225,10,0.5531,1010.0000,0.4417,0.6407,0.5352,90,1,62,0.006922,1333,3.2,21.7,128.5
226,10,0.5529,1015.0000,0.4409,0.6401,0.5351,90,0,59,0.003987,1338,3.1,19.7,93.0
227,10,0.5535,1018.0000,0.4419,0.6414,0.5344,90,0,58,0.009971,1345,2.4,23.5,105.8
228,10,0.5550,1019.0000,0.4419,0.6431,0.5361,90,0,60,0.009330,1354,1.9,20.3,92.6
229,10,0.5557,1022.0000,0.4419,0.6429,0.5377,90,0,59,0.005877,1361,2.0,21.7,96.1
230,10,0.5563,1025.0000,0.4421,0.6444,0.5375,90,0,60,0.010105,1368,3.3,20.9,90.9
231,10,0.5573,1027.0000,0.4433,0.6445,0.5398,90,0,64,0.007379,1376,2.0,25.9,98.7
232,10,0.5575,1031.0000,0.4425,0.6453,0.5400,90,0,66,0.005174,1382,2.3,24.0,108.7
233,10,0.5577,1035.0000,0.4427,0.6450,0.5405,90,0,63,0.004000,1388,3.1,23.7,112.1
234,10,0.5574,1040.0000,0.4429,0.6440,0.5408,90,0,64,0.004571,1393,3.6,20.3,88.8
235,10,0.5585,1042.0000,0.4429,0.6459,0.5412,90,0,68,0.006267,1401,1.8,20.7,87.0
236,10,0.5591,1045.0000,0.4439,0.6471,0.5404,90,0,70,0.017743,1408,6.1,19.3,101.5
237,10,0.5592,1049.0000,0.4450,0.6472,0.5403,90,0,69,0.006558,1414,2.7,23.3,110.2
238,10,0.5603,1051.0000,0.4471,0.6487,0.5402,90,0,68,0.010666,1422,3.1,24.1,109.0
239,10,0.5613,1053.0000,0.4480,0.6502,0.5401,90,0,69,0.015188,1430,2.3,25.5,101.2
240,10,0.5610,1058.0000,0.4499,0.6509,0.5375,90,1,68,0.013426,1436,3.0,24.3,109.7
241,10,0.5607,1063.0000,0.4492,0.6510,0.5368,90,0,65,0.020516,1441,3.4,25.5,110.0
242,10,0.5613,1066.0000,0.4492,0.6536,0.5349,90,0,65,0.016208,1448,1.8,26.3,106.7
243,10,0.5623,1068.0000,0.4503,0.6543,0.5364,90,0,67,0.014011,1456,5.8,25.6,108.6
