batch_idx,n_new,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
0,10,0.4000,6.0000,0.5000,0.3333,0.5000,0,0,4,0.055855,4,2.7,0.0,9.8
1,10,0.4500,11.0000,0.5000,0.3636,0.6667,10,0,9,0.034592,9,3.5,2.5,18.4
2,10,0.4000,18.0000,0.5000,0.3750,0.3750,20,1,13,0.078188,13,1.7,6.4,26.4
3,10,0.4000,24.0000,0.4444,0.3500,0.4545,30,0,17,0.035987,17,2.6,7.2,24.4
4,10,0.3800,31.0000,0.3636,0.3750,0.4000,40,1,21,0.021294,21,20.4,10.0,32.8
5,10,0.3500,39.0000,0.3077,0.3448,0.3889,50,0,23,0.044940,23,3.5,30.8,35.1
5,10,0.3500,39.0000,0.3077,0.3448,0.3889,50,0,23,0.039165,23,4.0,29.4,36.2
6,10,0.4000,42.0000,0.3333,0.3438,0.5217,60,2,32,0.038467,32,2.8,26.6,64.5
7,10,0.3875,49.0000,0.3333,0.3143,0.5417,70,0,35,0.017562,35,12.9,29.0,241.1
8,10,0.4000,54.0000,0.3200,0.3514,0.5357,80,2,42,0.020648,42,5.8,59.9,279.2
9,10,0.4400,56.0000,0.3462,0.3590,0.6000,90,1,51,0.020746,51,3.8,43.7,333.1
10,10,0.4273,63.0000,0.3448,0.3488,0.5789,90,1,51,0.017512,55,9.8,56.8,335.5
11,10,0.4417,67.0000,0.3448,0.3673,0.5952,90,2,51,0.036287,63,2.3,53.6,329.9
12,10,0.4462,72.0000,0.3438,0.3846,0.5870,90,0,51,0.030740,68,5.3,46.5,364.0
13,10,0.4500,77.0000,0.3611,0.3818,0.5918,90,4,55,0.041099,77,3.2,51.0,355.6
14,10,0.4600,81.0000,0.3590,0.3929,0.6000,90,0,57,0.030199,83,3.0,44.3,361.6
15,10,0.4500,88.0000,0.3256,0.4000,0.5965,90,0,56,0.014479,86,6.1,42.4,433.0
16,10,0.4529,93.0000,0.3478,0.4154,0.5763,90,0,54,0.014412,91,4.1,46.5,347.8
17,10,0.4556,98.0000,0.3469,0.4203,0.5806,90,0,53,0.010531,96,4.1,39.6,361.3
18,10,0.4421,106.0000,0.3400,0.4133,0.5538,90,0,49,0.005723,98,5.1,38.9,340.3
19,10,0.4350,113.0000,0.3269,0.4051,0.5507,90,0,44,0.004699,101,7.0,38.9,350.1
20,10,0.4381,118.0000,0.3571,0.4000,0.5405,90,1,46,0.012971,107,4.7,38.5,324.2
21,10,0.4273,126.0000,0.3448,0.3929,0.5256,90,3,45,0.019578,112,3.3,37.5,317.1
22,10,0.4304,131.0000,0.3651,0.3953,0.5185,90,0,45,0.014871,117,3.4,33.7,224.1
23,10,0.4167,140.0000,0.3433,0.3977,0.4941,90,1,42,0.024724,119,13.6,37.6,232.5
