batch_idx,n_new,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
0,10,0.4000,6.0000,0.5000,0.3333,0.5000,0,0,4,0.054227,4,2.4,0.0,9.2
1,10,0.4500,11.0000,0.5000,0.3636,0.6667,10,0,9,0.086088,9,3.5,2.5,18.0
2,10,0.3667,19.0000,0.5000,0.3125,0.3750,20,1,12,0.033947,12,1.7,6.3,20.1
3,10,0.3750,25.0000,0.4444,0.3000,0.4545,30,0,16,0.024131,16,2.5,6.7,23.7
4,10,0.3600,32.0000,0.3636,0.3333,0.4000,40,2,21,0.020201,21,5.3,9.5,28.4
5,10,0.3500,39.0000,0.3846,0.3103,0.3889,50,0,24,0.060784,24,3.5,31.7,37.8
6,10,0.4000,42.0000,0.4000,0.3125,0.5217,60,1,32,0.100495,32,2.9,27.6,47.3
7,10,0.3750,50.0000,0.3333,0.2857,0.5417,70,0,34,0.151399,34,8.6,38.5,57.3
8,10,0.3889,55.0000,0.3200,0.3243,0.5357,80,2,41,0.136976,41,5.6,38.0,96.0
9,10,0.4200,58.0000,0.3077,0.3333,0.6000,90,1,49,0.065170,49,4.4,46.2,155.8
10,10,0.4091,65.0000,0.3103,0.3256,0.5789,90,0,48,0.070754,52,9.4,44.2,117.2
11,10,0.4250,69.0000,0.3103,0.3469,0.5952,90,3,49,0.033177,61,2.2,52.2,119.4
12,10,0.4154,76.0000,0.2812,0.3654,0.5652,90,0,48,0.054542,64,5.2,55.2,109.3
13,10,0.4214,81.0000,0.3056,0.3636,0.5714,90,1,49,0.047750,70,8.3,55.9,131.5
14,10,0.4267,86.0000,0.3077,0.3750,0.5636,90,1,52,0.120099,76,2.9,47.0,83.8
15,10,0.4125,94.0000,0.2791,0.3667,0.5614,90,0,50,0.079447,78,6.2,46.4,101.8
16,10,0.4235,98.0000,0.3043,0.3846,0.5593,90,1,50,0.076685,85,3.9,47.4,185.8
17,10,0.4278,103.0000,0.3061,0.3913,0.5645,90,0,50,0.082887,90,4.9,41.3,94.3
18,10,0.4158,111.0000,0.3000,0.3867,0.5385,90,0,46,0.069594,92,4.3,41.1,80.9
19,10,0.4100,118.0000,0.2885,0.3797,0.5362,90,0,42,0.053099,95,4.2,40.6,104.6
20,10,0.4095,124.0000,0.3036,0.3750,0.5270,90,1,43,0.045312,100,4.5,34.7,79.1
21,10,0.4000,132.0000,0.2931,0.3690,0.5128,90,1,40,0.098396,103,2.4,37.2,68.1
22,10,0.3957,139.0000,0.2857,0.3721,0.5062,90,0,40,0.074838,106,3.7,34.8,69.1
23,10,0.3833,148.0000,0.2687,0.3750,0.4824,90,0,36,0.055120,107,9.9,35.9,58.4
24,10,0.3720,157.0000,0.2676,0.3587,0.4713,90,1,33,0.064583,109,7.1,41.7,60.7
25,10,0.3654,165.0000,0.2533,0.3579,0.4667,90,0,32,0.041370,111,13.8,57.0,60.1
26,10,0.3704,170.0000,0.2785,0.3535,0.4674,90,1,31,0.031343,117,3.2,62.8,53.5
27,10,0.3893,171.0000,0.2963,0.3786,0.4792,90,3,37,0.030166,129,2.0,65.0,71.3
28,10,0.3966,175.0000,0.2941,0.3981,0.4845,90,1,42,0.028643,136,2.7,58.8,74.2
29,10,0.4067,178.0000,0.3068,0.3964,0.5050,90,0,45,0.061792,143,3.4,42.3,84.0
30,10,0.4097,183.0000,0.3261,0.3929,0.5000,90,2,48,0.038725,150,3.5,40.9,99.9
31,10,0.4156,187.0000,0.3469,0.3894,0.5046,90,3,54,0.037172,159,23.0,42.4,119.4
32,10,0.4212,191.0000,0.3592,0.3932,0.5091,90,0,54,0.035535,165,16.7,55.1,114.6
33,10,0.4206,197.0000,0.3524,0.3934,0.5133,90,3,57,0.052387,172,3.1,54.3,101.0
34,10,0.4257,201.0000,0.3704,0.4016,0.5043,90,1,62,0.047658,179,2.4,53.0,89.4
35,10,0.4306,205.0000,0.3750,0.4046,0.5128,90,0,64,0.032593,185,6.6,45.3,92.0
36,10,0.4324,210.0000,0.3772,0.4088,0.5126,90,0,63,0.025178,190,8.8,50.4,87.0
37,10,0.4342,215.0000,0.3707,0.4214,0.5081,90,1,59,0.039993,196,3.1,57.7,87.5
38,10,0.4308,222.0000,0.3607,0.4296,0.5000,90,1,57,0.027361,200,7.2,77.7,89.1
39,10,0.4325,227.0000,0.3600,0.4422,0.4922,90,1,55,0.017115,206,4.4,83.4,82.7
40,10,0.4341,232.0000,0.3622,0.4437,0.4924,90,0,55,0.020421,211,2.2,55.0,94.2
41,10,0.4357,237.0000,0.3664,0.4416,0.4963,90,1,55,0.018579,217,4.0,48.2,88.2
42,10,0.4395,241.0000,0.3582,0.4522,0.5036,90,0,55,0.029536,223,2.4,44.8,76.0
43,10,0.4477,243.0000,0.3630,0.4663,0.5070,90,0,58,0.017040,231,2.3,39.6,81.8
44,10,0.4444,250.0000,0.3571,0.4643,0.5070,90,0,55,0.021548,234,5.6,38.7,94.6
45,10,0.4457,255.0000,0.3497,0.4713,0.5105,90,0,54,0.009128,239,2.7,36.0,101.5
46,10,0.4468,260.0000,0.3605,0.4689,0.5068,90,1,52,0.021521,245,6.0,32.6,95.1
47,10,0.4500,264.0000,0.3624,0.4696,0.5133,90,0,53,0.017868,251,2.6,57.8,120.6
48,10,0.4469,271.0000,0.3571,0.4703,0.5099,90,1,54,0.018857,255,5.8,35.4,95.4
49,10,0.4500,275.0000,0.3585,0.4759,0.5130,90,0,53,0.023857,261,3.8,37.5,94.7
50,10,0.4529,279.0000,0.3580,0.4815,0.5157,90,1,55,0.032017,268,3.5,35.9,92.9
51,10,0.4577,282.0000,0.3675,0.4896,0.5123,90,0,57,0.024833,275,4.4,32.4,97.3
52,10,0.4566,288.0000,0.3605,0.4948,0.5122,90,0,55,0.031304,279,6.7,37.4,138.2
53,10,0.4556,294.0000,0.3584,0.4949,0.5089,90,1,52,0.024241,284,1.8,39.8,173.6
54,10,0.4582,298.0000,0.3596,0.4975,0.5146,90,0,55,0.028220,290,6.3,41.7,106.0
55,10,0.4625,301.0000,0.3626,0.4975,0.5257,90,1,57,0.041528,298,2.8,42.8,189.5
56,10,0.4614,307.0000,0.3583,0.4976,0.5281,90,0,54,0.024811,302,9.7,35.7,100.5
57,10,0.4603,313.0000,0.3564,0.4952,0.5275,90,1,53,0.025939,307,3.2,42.8,114.4
58,10,0.4627,317.0000,0.3560,0.5000,0.5297,90,1,56,0.030294,314,3.6,40.0,96.7
59,10,0.4650,321.0000,0.3608,0.5000,0.5316,90,1,57,0.028472,321,3.8,42.2,95.9
60,10,0.4623,328.0000,0.3535,0.5023,0.5285,90,0,53,0.039769,324,4.0,39.4,89.9
61,10,0.4613,334.0000,0.3515,0.5023,0.5276,90,0,50,0.033086,328,16.3,39.0,116.5
62,10,0.4603,340.0000,0.3527,0.5022,0.5250,90,0,50,0.026909,332,7.1,47.8,143.6
63,10,0.4656,342.0000,0.3619,0.5066,0.5271,90,0,52,0.028296,340,4.8,53.4,119.2
64,10,0.4662,347.0000,0.3645,0.5043,0.5291,90,0,51,0.031124,345,27.7,53.9,148.2
65,10,0.4652,353.0000,0.3670,0.5022,0.5261,90,1,49,0.027445,350,8.4,80.4,216.9
66,10,0.4672,357.0000,0.3632,0.5085,0.5305,90,1,52,0.023720,357,5.8,78.4,129.3
67,10,0.4691,361.0000,0.3616,0.5084,0.5367,90,0,53,0.030700,363,2.5,88.6,126.4
68,10,0.4710,365.0000,0.3656,0.5083,0.5385,90,0,53,0.025325,369,5.7,69.8,118.6
69,10,0.4714,370.0000,0.3707,0.5061,0.5381,90,2,53,0.044120,376,6.8,72.6,192.0
70,10,0.4718,375.0000,0.3702,0.5080,0.5378,90,1,56,0.031817,382,4.5,88.1,176.7
71,10,0.4722,380.0000,0.3713,0.5079,0.5368,90,0,57,0.074147,387,2.3,83.3,145.8
72,10,0.4712,386.0000,0.3724,0.5079,0.5316,90,1,58,0.057925,392,2.9,90.3,171.5
73,10,0.4730,390.0000,0.3760,0.5019,0.5394,90,0,56,0.047803,398,4.8,69.0,105.4
74,10,0.4760,393.0000,0.3811,0.5058,0.5385,90,0,57,0.044910,405,3.9,59.3,130.8
75,10,0.4763,398.0000,0.3831,0.5095,0.5341,90,0,57,0.031630,410,2.7,54.4,99.2
76,10,0.4753,404.0000,0.3849,0.5075,0.5317,90,0,55,0.032153,414,3.4,49.9,122.4
77,10,0.4756,409.0000,0.3858,0.5129,0.5255,90,1,54,0.035930,420,10.0,51.4,161.2
78,10,0.4759,414.0000,0.3798,0.5182,0.5271,90,2,54,0.031314,427,2.9,60.2,121.9
79,10,0.4738,421.0000,0.3755,0.5199,0.5229,90,1,52,0.013959,431,3.1,43.2,157.9
80,10,0.4778,423.0000,0.3750,0.5216,0.5336,90,0,54,0.014197,439,2.8,42.2,154.5
81,10,0.4793,427.0000,0.3783,0.5248,0.5314,90,1,56,0.014019,446,2.7,35.6,103.9
82,10,0.4783,433.0000,0.3773,0.5248,0.5309,90,1,56,0.017882,451,13.9,34.1,99.4
83,10,0.4845,433.0000,0.3818,0.5347,0.5343,90,1,61,0.032903,462,2.5,57.8,98.4
84,10,0.4824,440.0000,0.3813,0.5342,0.5286,90,0,57,0.024604,465,3.2,56.5,95.7
85,10,0.4849,443.0000,0.3843,0.5374,0.5298,90,0,58,0.028276,472,8.0,49.0,87.5
