batch_idx,n_new,acc_running,cumulative_regret,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
144,10,0.3483,945.0000,90,0,39,0.002885,576,4.7,73.3,78.7
145,10,0.3479,952.0000,90,1,40,0.003094,580,5.4,74.6,78.1
146,10,0.3483,958.0000,90,0,40,0.002870,584,4.5,79.6,79.7
147,10,0.3507,961.0000,90,0,41,0.002758,591,5.0,74.6,82.7
148,10,0.3523,965.0000,90,1,44,0.003439,598,4.0,70.4,88.6
149,10,0.3540,969.0000,90,2,50,0.004024,606,5.0,66.1,99.7
150,10,0.3550,974.0000,90,0,48,0.003374,611,4.5,62.5,96.1
151,10,0.3553,980.0000,90,0,49,0.001619,615,3.6,63.9,97.9
152,10,0.3542,988.0000,90,0,47,0.004660,617,6.1,60.8,93.8
153,4,0.3540,991.0000,90,0,46,0.001383,618,4.0,66.3,92.3
