step,db_id,n_icl,correct,cumulative_regret,mem_size
174,card_games,3,1,119.0000,56
175,toxicology,3,0,120.0000,56
176,california_schools,3,0,121.0000,56
177,student_club,3,1,121.0000,57
178,student_club,3,0,122.0000,57
179,superhero,3,0,123.0000,57
180,toxicology,3,1,123.0000,58
181,toxicology,3,0,124.0000,58
182,thrombosis_prediction,3,0,125.0000,58
183,codebase_community,3,0,126.0000,58
184,formula_1,3,0,127.0000,58
185,card_games,3,0,128.0000,58
186,toxicology,3,0,129.0000,58
187,student_club,3,0,130.0000,58
188,california_schools,3,1,130.0000,59
189,toxicology,3,0,131.0000,59
190,thrombosis_prediction,3,0,132.0000,59
191,codebase_community,3,1,132.0000,60
192,student_club,3,0,133.0000,60
193,thrombosis_prediction,3,0,134.0000,60
194,superhero,3,1,134.0000,61
195,debit_card_specializing,3,0,135.0000,61
196,european_football_2,3,0,136.0000,61
197,card_games,3,1,136.0000,62
198,thrombosis_prediction,3,0,137.0000,62
199,codebase_community,3,1,137.0000,63
200,debit_card_specializing,3,1,137.0000,64
201,superhero,3,0,138.0000,64
202,toxicology,3,1,138.0000,65
203,california_schools,3,0,139.0000,65
204,card_games,3,0,140.0000,65
205,codebase_community,3,0,141.0000,65
206,codebase_community,3,1,141.0000,66
207,card_games,3,1,141.0000,67
208,thrombosis_prediction,3,0,142.0000,67
209,thrombosis_prediction,3,0,143.0000,67
210,thrombosis_prediction,3,1,143.0000,68
211,debit_card_specializing,3,0,144.0000,68
212,card_games,3,0,145.0000,68
213,student_club,3,0,146.0000,68
214,formula_1,3,1,146.0000,69
215,student_club,3,0,147.0000,69
216,codebase_community,3,1,147.0000,70
217,card_games,3,0,148.0000,70
218,student_club,3,0,149.0000,70
219,debit_card_specializing,3,0,150.0000,70
220,card_games,3,1,150.0000,71
221,card_games,3,0,151.0000,71
222,thrombosis_prediction,3,0,152.0000,71
223,card_games,3,0,153.0000,71
224,student_club,3,1,153.0000,72
225,superhero,3,1,153.0000,73
226,codebase_community,3,1,153.0000,74
227,card_games,3,0,154.0000,74
228,formula_1,3,1,154.0000,75
229,california_schools,3,0,155.0000,75
230,thrombosis_prediction,3,0,156.0000,75
231,thrombosis_prediction,3,0,157.0000,75
232,debit_card_specializing,3,0,158.0000,75
233,formula_1,3,0,159.0000,75
234,thrombosis_prediction,3,0,160.0000,75
235,student_club,3,1,160.0000,76
236,student_club,3,0,161.0000,76
237,thrombosis_prediction,3,0,162.0000,76
238,card_games,3,0,163.0000,76
239,thrombosis_prediction,3,0,164.0000,76
