step,problem_id,pre_reward,post_reward,delta,cumulative_regret,batch_idx,epoch
72,arc195_b,0.6667,0.6667,+0.0000,38.9167,7,1
73,3428,1.0000,1.0000,+0.0000,38.9167,7,1
74,abc308_c,1.0000,1.0000,+0.0000,38.9167,7,1
75,abc337_a,1.0000,1.0000,+0.0000,38.9167,7,1
76,abc323_e,0.0000,0.0000,+0.0000,39.9167,7,1
77,3493,0.0000,0.5000,+0.5000,40.9167,7,1
78,2825,1.0000,1.0000,+0.0000,40.9167,7,1
79,2811,1.0000,1.0000,+0.0000,40.9167,7,1
80,3636,1.0000,1.0000,+0.0000,40.9167,8,1
81,abc332_a,1.0000,1.0000,+0.0000,40.9167,8,1
82,abc355_d,0.6667,0.6667,+0.0000,41.2500,8,1
83,3485,0.0000,0.5000,+0.5000,42.2500,8,1
84,abc381_e,0.0000,0.0000,+0.0000,43.2500,8,1
85,abc381_c,1.0000,0.0000,-1.0000,43.2500,8,1
86,abc368_d,0.0000,0.3333,+0.3333,44.2500,8,1
87,3737,0.0000,0.5000,+0.5000,45.2500,8,1
88,abc350_d,0.6667,0.3333,-0.3333,45.5833,8,1
89,3225,0.0000,0.0000,+0.0000,46.5833,8,1
90,3733,0.0000,0.0000,+0.0000,47.5833,9,1
91,3438,0.5000,0.0000,-0.5000,48.0833,9,1
92,abc399_f,1.0000,1.0000,+0.0000,48.0833,9,1
93,abc302_e,0.5000,0.0000,-0.5000,48.5833,9,1
94,abc390_a,1.0000,1.0000,+0.0000,48.5833,9,1
95,abc362_c,0.3333,0.0000,-0.3333,49.2500,9,1
96,2921,0.0000,0.5000,+0.5000,50.2500,9,1
97,2917,1.0000,1.0000,+0.0000,50.2500,9,1
98,abc378_e,0.0000,0.0000,+0.0000,51.2500,9,1
99,2867,0.0000,1.0000,+1.0000,52.2500,9,1
100,3541,1.0000,0.0000,-1.0000,52.2500,10,1
101,abc356_b,1.0000,1.0000,+0.0000,52.2500,10,1
102,abc323_d,0.3333,1.0000,+0.6667,52.9167,10,1
103,abc392_b,0.6667,0.6667,+0.0000,53.2500,10,1
104,abc334_d,0.3333,0.3333,+0.0000,53.9167,10,1
105,abc329_d,1.0000,1.0000,+0.0000,53.9167,10,1
106,abc399_d,0.0000,0.0000,+0.0000,54.9167,10,1
107,abc349_d,0.0000,0.0000,+0.0000,55.9167,10,1
108,abc338_a,1.0000,1.0000,+0.0000,55.9167,10,1
109,3626,1.0000,1.0000,+0.0000,55.9167,10,1
110,abc305_b,1.0000,1.0000,+0.0000,55.9167,11,1
111,abc380_a,1.0000,1.0000,+0.0000,55.9167,11,1
112,3242,0.0000,0.0000,+0.0000,56.9167,11,1
113,arc191_d,0.0000,0.0000,+0.0000,57.9167,11,1
114,abc375_a,1.0000,1.0000,+0.0000,57.9167,11,1
115,abc333_e,0.3333,0.3333,+0.0000,58.5833,11,1
116,3548,0.0000,0.0000,+0.0000,59.5833,11,1
117,arc183_d,0.0000,0.0000,+0.0000,60.5833,11,1
118,abc336_a,1.0000,1.0000,+0.0000,60.5833,11,1
119,3387,0.6667,0.0000,-0.6667,60.9167,11,1
120,abc301_d,1.0000,0.6667,-0.3333,60.9167,12,1
121,3747,0.0000,0.0000,+0.0000,61.9167,12,1
122,3683,1.0000,0.0000,-1.0000,61.9167,12,1
123,3269,0.0000,0.0000,+0.0000,62.9167,12,1
124,3411,0.0000,0.0000,+0.0000,63.9167,12,1
125,3786,0.0000,0.0000,+0.0000,64.9167,12,1
126,abc313_b,0.0000,1.0000,+1.0000,65.9167,12,1
127,3508,0.3333,0.3333,+0.0000,66.5833,12,1
128,abc347_e,1.0000,1.0000,+0.0000,66.5833,12,1
129,3580,1.0000,1.0000,+0.0000,66.5833,12,1
130,arc186_b,0.0000,0.0000,+0.0000,67.5833,13,1
131,3777,0.3333,0.6667,+0.3333,68.2500,13,1
132,3397,0.0000,0.0000,+0.0000,69.2500,13,1
133,abc356_e,1.0000,1.0000,+0.0000,69.2500,13,1
134,arc195_e,0.0000,0.0000,+0.0000,70.2500,13,1
135,abc375_g,0.3333,1.0000,+0.6667,70.9167,13,1
136,abc372_f,0.0000,0.0000,+0.0000,71.9167,13,1
137,abc367_d,0.3333,0.3333,+0.0000,72.5833,13,1
138,abc388_g,0.0000,0.0000,+0.0000,73.5833,13,1
139,3231,0.0000,0.0000,+0.0000,74.5833,13,1
140,abc389_d,1.0000,1.0000,+0.0000,74.5833,14,1
141,3207,1.0000,1.0000,+0.0000,74.5833,14,1
142,abc367_f,1.0000,1.0000,+0.0000,74.5833,14,1
143,abc339_a,1.0000,1.0000,+0.0000,74.5833,14,1
144,abc312_c,1.0000,1.0000,+0.0000,74.5833,14,1
145,3024,0.0000,0.0000,+0.0000,75.5833,14,1
146,abc320_d,0.0000,0.3333,+0.3333,76.5833,14,1
147,abc364_e,0.2500,0.2500,+0.0000,77.3333,14,1
148,abc366_d,0.0000,1.0000,+1.0000,78.3333,14,1
149,abc329_e,0.6667,0.6667,+0.0000,78.6667,14,1
150,abc384_e,0.3333,0.3333,+0.0000,79.3333,15,1
151,abc373_g,0.0000,0.0000,+0.0000,80.3333,15,1
152,3228,1.0000,1.0000,+0.0000,80.3333,15,1
153,abc304_d,0.0000,1.0000,+1.0000,81.3333,15,1
154,3613,0.0000,0.0000,+0.0000,82.3333,15,1
155,3381,0.0000,0.0000,+0.0000,83.3333,15,1
156,3686,0.0000,0.0000,+0.0000,84.3333,15,1
157,3328,0.5000,0.5000,+0.0000,84.8333,15,1
158,abc322_b,1.0000,1.0000,+0.0000,84.8333,15,1
159,3468,0.0000,0.0000,+0.0000,85.8333,15,1
160,3658,0.3333,0.3333,+0.0000,86.5000,16,1
161,2855,1.0000,1.0000,+0.0000,86.5000,16,1
162,2817,0.5000,0.5000,+0.0000,87.0000,16,1
163,3496,0.3333,0.0000,-0.3333,87.6667,16,1
164,3784,0.0000,0.0000,+0.0000,88.6667,16,1
165,arc188_d,0.0000,0.0000,+0.0000,89.6667,16,1
166,3654,0.5000,0.5000,+0.0000,90.1667,16,1
167,3163,1.0000,0.0000,-1.0000,90.1667,16,1
168,abc347_b,1.0000,1.0000,+0.0000,90.1667,16,1
169,abc330_b,1.0000,1.0000,+0.0000,90.1667,16,1
170,3696,0.0000,0.0000,+0.0000,91.1667,17,1
171,3487,0.5000,0.5000,+0.0000,91.6667,17,1
172,3000,0.0000,0.0000,+0.0000,92.6667,17,1
173,abc385_d,0.0000,0.0000,+0.0000,93.6667,17,1
174,abc354_c,0.6667,0.3333,-0.3333,94.0000,17,1
175,3723,0.0000,0.0000,+0.0000,95.0000,17,1
176,3591,0.0000,0.5000,+0.5000,96.0000,17,1
177,3226,0.0000,0.0000,+0.0000,97.0000,17,1
178,abc343_b,1.0000,1.0000,+0.0000,97.0000,17,1
179,abc322_e,0.0000,0.5000,+0.5000,98.0000,17,1
180,3603,0.5000,0.5000,+0.0000,98.5000,18,1
181,abc362_d,0.3333,0.3333,+0.0000,99.1667,18,1
182,arc195_c,0.0000,0.0000,+0.0000,100.1667,18,1
183,2870,0.0000,0.0000,+0.0000,101.1667,18,1
184,abc386_d,0.5000,0.0000,-0.5000,101.6667,18,1
185,abc355_a,1.0000,1.0000,+0.0000,101.6667,18,1
186,1883_C,0.0000,0.0000,+0.0000,102.6667,18,1
187,3634,0.5000,0.5000,+0.0000,103.1667,18,1
188,abc301_f,0.0000,0.0000,+0.0000,104.1667,18,1
189,abc369_c,0.0000,0.3333,+0.3333,105.1667,18,1
190,3466,0.0000,0.0000,+0.0000,106.1667,19,1
191,3174,1.0000,1.0000,+0.0000,106.1667,19,1
192,3292,0.0000,0.3333,+0.3333,107.1667,19,1
193,abc310_d,0.2500,0.2500,+0.0000,107.9167,19,1
194,3423,1.0000,0.5000,-0.5000,107.9167,19,1
195,abc355_c,1.0000,1.0000,+0.0000,107.9167,19,1
196,3081,0.6667,0.3333,-0.3333,108.2500,19,1
197,3317,0.0000,0.3333,+0.3333,109.2500,19,1
198,3770,0.6667,0.3333,-0.3333,109.5833,19,1
199,3511,0.5000,0.5000,+0.0000,110.0833,19,1
200,abc395_c,0.3333,0.3333,+0.0000,110.7500,20,1
201,abc343_c,1.0000,1.0000,+0.0000,110.7500,20,1
202,abc351_f,0.0000,0.0000,+0.0000,111.7500,20,1
203,abc369_b,0.0000,1.0000,+1.0000,112.7500,20,1
204,3743,0.3333,0.3333,+0.0000,113.4167,20,1
205,abc324_c,0.0000,0.0000,+0.0000,114.4167,20,1
206,abc333_d,0.0000,0.3333,+0.3333,115.4167,20,1
207,3362,0.0000,0.0000,+0.0000,116.4167,20,1
208,3639,0.5000,0.0000,-0.5000,116.9167,20,1
209,2884,0.0000,0.0000,+0.0000,117.9167,20,1
210,abc352_c,0.0000,0.0000,+0.0000,118.9167,21,1
211,abc350_e,0.0000,0.0000,+0.0000,119.9167,21,1
212,arc191_c,0.0000,0.0000,+0.0000,120.9167,21,1
213,abc318_c,0.0000,0.3333,+0.3333,121.9167,21,1
214,3720,0.5000,0.5000,+0.0000,122.4167,21,1
215,abc320_c,0.6667,0.6667,+0.0000,122.7500,21,1
216,3394,0.0000,0.0000,+0.0000,123.7500,21,1
217,arc196_d,0.0000,0.0000,+0.0000,124.7500,21,1
218,3361,0.5000,0.0000,-0.5000,125.2500,21,1
219,3034,1.0000,1.0000,+0.0000,125.2500,21,1
220,abc344_d,0.3333,0.3333,+0.0000,125.9167,22,1
221,3621,0.0000,0.0000,+0.0000,126.9167,22,1
222,3372,0.6667,1.0000,+0.3333,127.2500,22,1
223,abc338_f,0.0000,0.6667,+0.6667,128.2500,22,1
224,arc189_c,0.2500,0.5000,+0.2500,129.0000,22,1
225,abc308_e,0.3333,0.3333,+0.0000,129.6667,22,1
226,3313,0.0000,0.3333,+0.3333,130.6667,22,1
227,abc400_g,0.0000,0.0000,+0.0000,131.6667,22,1
228,abc358_c,1.0000,1.0000,+0.0000,131.6667,22,1
229,2792,1.0000,0.6667,-0.3333,131.6667,22,1
230,3492,0.0000,0.0000,+0.0000,132.6667,23,1
231,abc374_c,0.3333,0.3333,+0.0000,133.3333,23,1
232,abc344_e,0.0000,1.0000,+1.0000,134.3333,23,1
233,abc380_e,1.0000,1.0000,+0.0000,134.3333,23,1
234,abc348_b,1.0000,1.0000,+0.0000,134.3333,23,1
235,3525,0.0000,0.5000,+0.5000,135.3333,23,1
236,abc365_a,1.0000,1.0000,+0.0000,135.3333,23,1
237,abc304_e,0.0000,1.0000,+1.0000,136.3333,23,1
238,3552,0.3333,0.3333,+0.0000,137.0000,23,1
239,3171,0.0000,1.0000,+1.0000,138.0000,23,1
240,arc185_b,0.0000,0.0000,+0.0000,139.0000,24,1
241,abc302_c,1.0000,1.0000,+0.0000,139.0000,24,1
242,abc368_c,0.3333,0.3333,+0.0000,139.6667,24,1
243,3555,0.0000,0.0000,+0.0000,140.6667,24,1
244,abc303_e,0.0000,0.0000,+0.0000,141.6667,24,1
245,3236,1.0000,1.0000,+0.0000,141.6667,24,1
246,3560,0.0000,0.3333,+0.3333,142.6667,24,1
247,abc372_e,0.0000,0.0000,+0.0000,143.6667,24,1
248,abc311_d,0.0000,0.0000,+0.0000,144.6667,24,1
249,abc373_a,1.0000,1.0000,+0.0000,144.6667,24,1
250,3685,1.0000,1.0000,+0.0000,144.6667,25,1
251,abc359_e,0.0000,0.0000,+0.0000,145.6667,25,1
252,abc321_d,0.0000,1.0000,+1.0000,146.6667,25,1
253,abc341_b,1.0000,1.0000,+0.0000,146.6667,25,1
254,3464,0.2500,0.2500,+0.0000,147.4167,25,1
255,abc398_b,1.0000,1.0000,+0.0000,147.4167,25,1
256,3320,1.0000,1.0000,+0.0000,147.4167,25,1
257,abc306_e,0.0000,0.0000,+0.0000,148.4167,25,1
258,abc351_a,1.0000,1.0000,+0.0000,148.4167,25,1
259,3753,1.0000,1.0000,+0.0000,148.4167,25,1
260,3446,1.0000,1.0000,+0.0000,148.4167,26,1
261,1899_B,0.0000,0.0000,+0.0000,149.4167,26,1
262,3279,1.0000,1.0000,+0.0000,149.4167,26,1
263,abc314_b,0.5000,0.5000,+0.0000,149.9167,26,1
264,abc370_f,0.0000,0.0000,+0.0000,150.9167,26,1
265,3788,1.0000,1.0000,+0.0000,150.9167,26,1
266,abc359_b,0.3333,0.3333,+0.0000,151.5833,26,1
267,3297,0.0000,1.0000,+1.0000,152.5833,26,1
268,3676,1.0000,0.0000,-1.0000,152.5833,26,1
269,3763,0.0000,0.0000,+0.0000,153.5833,26,1
270,abc366_a,1.0000,1.0000,+0.0000,153.5833,27,1
271,abc366_e,0.0000,0.0000,+0.0000,154.5833,27,1
272,abc392_c,0.0000,0.0000,+0.0000,155.5833,27,1
273,2833,0.5000,0.0000,-0.5000,156.0833,27,1
274,3351,1.0000,1.0000,+0.0000,156.0833,27,1
275,3649,1.0000,0.0000,-1.0000,156.0833,27,1
276,abc301_c,0.7500,0.5000,-0.2500,156.3333,27,1
277,abc344_b,0.3333,0.0000,-0.3333,157.0000,27,1
278,abc399_c,0.3333,0.3333,+0.0000,157.6667,27,1
279,abc380_f,0.0000,0.6667,+0.6667,158.6667,27,1
280,abc367_c,0.0000,0.0000,+0.0000,159.6667,28,1
281,3629,0.0000,0.0000,+0.0000,160.6667,28,1
282,abc322_a,1.0000,1.0000,+0.0000,160.6667,28,1
283,2979,0.0000,0.0000,+0.0000,161.6667,28,1
284,3331,1.0000,1.0000,+0.0000,161.6667,28,1
285,abc397_a,1.0000,1.0000,+0.0000,161.6667,28,1
286,arc193_a,0.0000,0.0000,+0.0000,162.6667,28,1
287,abc361_a,1.0000,1.0000,+0.0000,162.6667,28,1
288,abc328_e,0.6667,0.6667,+0.0000,163.0000,28,1
289,3518,0.0000,0.0000,+0.0000,164.0000,28,1
290,3306,1.0000,1.0000,+0.0000,164.0000,29,1
291,2882,1.0000,1.0000,+0.0000,164.0000,29,1
292,abc374_g,0.0000,0.0000,+0.0000,165.0000,29,1
293,3617,0.0000,0.6667,+0.6667,166.0000,29,1
294,abc358_d,0.0000,1.0000,+1.0000,167.0000,29,1
295,abc371_a,0.5000,0.5000,+0.0000,167.5000,29,1
296,abc343_a,0.0000,0.0000,+0.0000,168.5000,29,1
297,abc376_d,0.0000,0.0000,+0.0000,169.5000,29,1
298,2786,1.0000,1.0000,+0.0000,169.5000,29,1
299,2828,1.0000,0.6667,-0.3333,169.5000,29,1
300,3456,0.0000,0.0000,+0.0000,170.5000,30,1
301,3299,0.5000,0.5000,+0.0000,171.0000,30,1
302,2810,0.5000,0.0000,-0.5000,171.5000,30,1
303,3527,0.5000,0.0000,-0.5000,172.0000,30,1
304,3476,0.5000,0.5000,+0.0000,172.5000,30,1
305,3495,0.0000,0.0000,+0.0000,173.5000,30,1
306,abc339_c,0.3333,0.3333,+0.0000,174.1667,30,1
307,3194,0.0000,1.0000,+1.0000,175.1667,30,1
308,abc363_f,0.0000,0.0000,+0.0000,176.1667,30,1
309,abc394_f,0.3333,0.3333,+0.0000,176.8333,30,1
310,abc366_c,1.0000,1.0000,+0.0000,176.8333,31,1
311,abc351_d,0.0000,0.0000,+0.0000,177.8333,31,1
312,3416,0.5000,0.5000,+0.0000,178.3333,31,1
313,abc308_f,0.5000,0.5000,+0.0000,178.8333,31,1
314,3638,0.0000,0.3333,+0.3333,179.8333,31,1
315,abc400_a,1.0000,1.0000,+0.0000,179.8333,31,1
316,abc361_d,0.0000,0.0000,+0.0000,180.8333,31,1
317,3455,0.5000,0.5000,+0.0000,181.3333,31,1
318,3475,1.0000,1.0000,+0.0000,181.3333,31,1
319,abc391_e,0.0000,0.0000,+0.0000,182.3333,31,1
320,abc309_d,0.0000,1.0000,+1.0000,183.3333,32,1
321,3612,1.0000,0.5000,-0.5000,183.3333,32,1
322,abc383_b,1.0000,1.0000,+0.0000,183.3333,32,1
323,3515,0.6667,1.0000,+0.3333,183.6667,32,1
324,abc329_c,0.3333,0.3333,+0.0000,184.3333,32,1
325,3655,0.3333,0.6667,+0.3333,185.0000,32,1
326,3600,0.0000,1.0000,+1.0000,186.0000,32,1
327,abc358_a,1.0000,1.0000,+0.0000,186.0000,32,1
328,3793,0.2500,0.5000,+0.2500,186.7500,32,1
329,3422,1.0000,1.0000,+0.0000,186.7500,32,1
330,3817,1.0000,1.0000,+0.0000,186.7500,33,1
331,arc184_e,0.0000,0.0000,+0.0000,187.7500,33,1
332,abc310_b,0.0000,0.0000,+0.0000,188.7500,33,1
333,2977,0.0000,0.0000,+0.0000,189.7500,33,1
334,3412,1.0000,1.0000,+0.0000,189.7500,33,1
335,3267,0.6667,0.6667,+0.0000,190.0833,33,1
336,3562,0.0000,0.0000,+0.0000,191.0833,33,1
337,2756,1.0000,1.0000,+0.0000,191.0833,33,1
338,abc389_a,1.0000,1.0000,+0.0000,191.0833,33,1
339,abc307_b,1.0000,1.0000,+0.0000,191.0833,33,1
340,abc340_c,0.3333,0.0000,-0.3333,191.7500,34,1
341,abc332_b,1.0000,1.0000,+0.0000,191.7500,34,1
342,abc312_a,1.0000,1.0000,+0.0000,191.7500,34,1
343,abc350_b,0.0000,1.0000,+1.0000,192.7500,34,1
344,abc325_d,0.3333,0.3333,+0.0000,193.4167,34,1
345,abc320_a,1.0000,1.0000,+0.0000,193.4167,34,1
346,abc319_b,1.0000,1.0000,+0.0000,193.4167,34,1
347,arc193_b,0.0000,0.0000,+0.0000,194.4167,34,1
348,abc365_b,0.5000,1.0000,+0.5000,194.9167,34,1
349,arc182_c,0.0000,0.0000,+0.0000,195.9167,34,1
350,3308,0.5000,1.0000,+0.5000,196.4167,35,1
351,arc192_a,0.6667,0.6667,+0.0000,196.7500,35,1
352,arc186_e,0.0000,0.0000,+0.0000,197.7500,35,1
353,3403,0.0000,0.5000,+0.5000,198.7500,35,1
354,3702,0.3333,1.0000,+0.6667,199.4167,35,1
355,2728,0.0000,0.0000,+0.0000,200.4167,35,1
356,abc349_e,0.5000,0.5000,+0.0000,200.9167,35,1
357,abc324_a,1.0000,1.0000,+0.0000,200.9167,35,1
358,abc302_d,0.7500,0.7500,+0.0000,201.1667,35,1
359,3420,1.0000,1.0000,+0.0000,201.1667,35,1
360,3482,1.0000,1.0000,+0.0000,201.1667,36,1
361,2819,1.0000,1.0000,+0.0000,201.1667,36,1
362,abc353_b,1.0000,0.0000,-1.0000,201.1667,36,1
363,abc397_g,0.0000,0.0000,+0.0000,202.1667,36,1
364,abc319_d,1.0000,0.3333,-0.6667,202.1667,36,1
365,3607,0.6667,1.0000,+0.3333,202.5000,36,1
366,abc367_g,1.0000,0.0000,-1.0000,202.5000,36,1
367,3701,0.0000,0.0000,+0.0000,203.5000,36,1
368,3627,0.3333,0.3333,+0.0000,204.1667,36,1
369,3345,0.3333,0.3333,+0.0000,204.8333,36,1
370,abc336_b,0.0000,1.0000,+1.0000,205.8333,37,1
371,2920,1.0000,0.3333,-0.6667,205.8333,37,1
372,abc334_e,0.0000,0.0000,+0.0000,206.8333,37,1
373,abc360_e,0.0000,0.0000,+0.0000,207.8333,37,1
374,abc360_b,1.0000,1.0000,+0.0000,207.8333,37,1
375,abc388_b,1.0000,1.0000,+0.0000,207.8333,37,1
376,abc370_b,0.3333,0.0000,-0.3333,208.5000,37,1
377,2839,0.0000,0.0000,+0.0000,209.5000,37,1
378,abc399_b,0.2500,0.2500,+0.0000,210.2500,37,1
379,3751,0.0000,0.5000,+0.5000,211.2500,37,1
380,3363,0.0000,0.0000,+0.0000,212.2500,38,1
381,3211,0.3333,0.3333,+0.0000,212.9167,38,1
382,3360,0.0000,0.0000,+0.0000,213.9167,38,1
383,3395,0.5000,0.0000,-0.5000,214.4167,38,1
384,abc337_b,1.0000,1.0000,+0.0000,214.4167,38,1
385,abc361_f,0.0000,0.5000,+0.5000,215.4167,38,1
386,abc386_a,1.0000,1.0000,+0.0000,215.4167,38,1
387,3212,1.0000,0.0000,-1.0000,215.4167,38,1
388,3534,0.3333,0.3333,+0.0000,216.0833,38,1
389,abc327_e,0.0000,0.0000,+0.0000,217.0833,38,1
390,abc382_b,1.0000,1.0000,+0.0000,217.0833,39,1
391,abc315_c,0.5000,1.0000,+0.5000,217.5833,39,1
392,abc342_c,1.0000,0.3333,-0.6667,217.5833,39,1
393,abc392_a,1.0000,1.0000,+0.0000,217.5833,39,1
394,3832,0.0000,0.0000,+0.0000,218.5833,39,1
395,3190,0.3333,0.3333,+0.0000,219.2500,39,1
396,abc366_f,1.0000,1.0000,+0.0000,219.2500,39,1
397,3199,1.0000,1.0000,+0.0000,219.2500,39,1
398,arc185_c,0.3333,0.3333,+0.0000,219.9167,39,1
399,abc377_c,0.6667,0.6667,+0.0000,220.2500,39,1
400,abc340_b,1.0000,1.0000,+0.0000,220.2500,40,1
401,arc196_c,0.3333,0.3333,+0.0000,220.9167,40,1
402,abc369_e,0.0000,0.0000,+0.0000,221.9167,40,1
403,3583,0.3333,0.0000,-0.3333,222.5833,40,1
404,abc371_f,0.0000,0.0000,+0.0000,223.5833,40,1
405,abc314_a,1.0000,1.0000,+0.0000,223.5833,40,1
406,abc337_e,0.0000,0.0000,+0.0000,224.5833,40,1
407,abc326_c,1.0000,1.0000,+0.0000,224.5833,40,1
408,abc387_b,0.6667,1.0000,+0.3333,224.9167,40,1
409,abc341_c,0.0000,1.0000,+1.0000,225.9167,40,1
410,3244,0.6667,0.6667,+0.0000,226.2500,41,1
411,abc324_f,0.0000,0.0000,+0.0000,227.2500,41,1
412,abc321_c,0.0000,0.0000,+0.0000,228.2500,41,1
413,3566,0.0000,0.0000,+0.0000,229.2500,41,1
414,3543,1.0000,1.0000,+0.0000,229.2500,41,1
415,abc349_b,0.3333,1.0000,+0.6667,229.9167,41,1
416,abc375_e,0.2500,0.5000,+0.2500,230.6667,41,1
417,2887,1.0000,1.0000,+0.0000,230.6667,41,1
418,abc370_a,1.0000,1.0000,+0.0000,230.6667,41,1
419,3575,0.0000,1.0000,+1.0000,231.6667,41,1
420,3680,1.0000,1.0000,+0.0000,231.6667,42,1
421,abc378_b,1.0000,0.0000,-1.0000,231.6667,42,1
422,3644,1.0000,1.0000,+0.0000,231.6667,42,1
423,abc309_e,0.0000,0.0000,+0.0000,232.6667,42,1
424,abc315_b,1.0000,1.0000,+0.0000,232.6667,42,1
425,abc353_c,0.0000,1.0000,+1.0000,233.6667,42,1
426,abc346_c,1.0000,1.0000,+0.0000,233.6667,42,1
427,3018,1.0000,1.0000,+0.0000,233.6667,42,1
428,abc390_c,0.6667,0.6667,+0.0000,234.0000,42,1
429,abc395_e,0.2500,0.2500,+0.0000,234.7500,42,1
430,abc343_d,1.0000,0.0000,-1.0000,234.7500,43,1
431,3739,0.0000,0.0000,+0.0000,235.7500,43,1
432,abc360_c,0.0000,0.0000,+0.0000,236.7500,43,1
433,3657,0.6667,0.6667,+0.0000,237.0833,43,1
434,abc374_d,0.0000,0.0000,+0.0000,238.0833,43,1
435,3722,0.5000,0.5000,+0.0000,238.5833,43,1
436,3568,1.0000,1.0000,+0.0000,238.5833,43,1
437,3799,0.0000,0.0000,+0.0000,239.5833,43,1
438,3184,0.0000,0.0000,+0.0000,240.5833,43,1
