step,problem_id,pre_reward,post_reward,delta,cumulative_regret,batch_idx,epoch
0,1899_A,0.0000,0.0000,+0.0000,1.0000,0,1
1,abc383_e,0.0000,0.0000,+0.0000,2.0000,0,1
2,abc315_a,1.0000,1.0000,+0.0000,2.0000,0,1
3,3227,0.0000,0.0000,+0.0000,3.0000,0,1
4,arc190_c,0.0000,0.0000,+0.0000,4.0000,0,1
5,3210,1.0000,1.0000,+0.0000,4.0000,0,1
6,arc192_b,0.3333,0.3333,+0.0000,4.6667,0,1
7,3605,0.0000,0.0000,+0.0000,5.6667,0,1
8,abc398_g,0.6667,0.3333,-0.3333,6.0000,0,1
9,abc378_d,1.0000,1.0000,+0.0000,6.0000,0,1
10,abc344_a,1.0000,1.0000,+0.0000,6.0000,1,1
11,abc374_b,1.0000,0.6667,-0.3333,6.0000,1,1
12,3264,0.0000,0.0000,+0.0000,7.0000,1,1
13,abc397_d,0.0000,0.0000,+0.0000,8.0000,1,1
14,3414,0.5000,0.5000,+0.0000,8.5000,1,1
15,arc186_a,0.5000,0.5000,+0.0000,9.0000,1,1
16,arc189_b,0.0000,0.0000,+0.0000,10.0000,1,1
17,3151,0.0000,0.0000,+0.0000,11.0000,1,1
18,abc376_g,0.0000,0.0000,+0.0000,12.0000,1,1
19,abc363_a,1.0000,0.0000,-1.0000,12.0000,1,1
20,abc380_d,0.0000,0.0000,+0.0000,13.0000,2,1
21,abc384_a,1.0000,1.0000,+0.0000,13.0000,2,1
22,3384,1.0000,0.5000,-0.5000,13.0000,2,1
23,abc303_a,1.0000,1.0000,+0.0000,13.0000,2,1
24,abc396_a,1.0000,1.0000,+0.0000,13.0000,2,1
25,abc323_b,1.0000,1.0000,+0.0000,13.0000,2,1
26,3019,1.0000,1.0000,+0.0000,13.0000,2,1
27,abc326_a,0.6667,0.3333,-0.3333,13.3333,2,1
28,abc387_c,0.0000,0.0000,+0.0000,14.3333,2,1
29,arc188_c,0.0000,0.3333,+0.3333,15.3333,2,1
30,abc314_e,0.0000,0.0000,+0.0000,16.3333,3,1
31,2881,0.0000,0.0000,+0.0000,17.3333,3,1
32,abc391_g,0.0000,0.0000,+0.0000,18.3333,3,1
33,abc379_b,1.0000,1.0000,+0.0000,18.3333,3,1
34,abc376_b,0.3333,0.0000,-0.3333,19.0000,3,1
35,abc371_g,0.0000,0.0000,+0.0000,20.0000,3,1
36,abc375_c,0.0000,0.0000,+0.0000,21.0000,3,1
37,3044,0.0000,0.0000,+0.0000,22.0000,3,1
38,abc329_b,1.0000,1.0000,+0.0000,22.0000,3,1
39,abc398_d,0.3333,0.3333,+0.0000,22.6667,3,1
40,3510,0.3333,0.3333,+0.0000,23.3333,4,1
41,2779,0.0000,1.0000,+1.0000,24.3333,4,1
42,3375,0.0000,0.0000,+0.0000,25.3333,4,1
43,abc368_e,0.0000,0.3333,+0.3333,26.3333,4,1
44,arc193_d,0.0000,0.0000,+0.0000,27.3333,4,1
45,2827,1.0000,1.0000,+0.0000,27.3333,4,1
46,3785,0.3333,0.3333,+0.0000,28.0000,4,1
47,3532,0.0000,0.0000,+0.0000,29.0000,4,1
48,abc357_c,1.0000,1.0000,+0.0000,29.0000,4,1
49,abc394_e,0.0000,0.0000,+0.0000,30.0000,4,1
50,abc392_g,0.0000,1.0000,+1.0000,31.0000,5,1
51,3462,1.0000,0.5000,-0.5000,31.0000,5,1
52,abc361_b,1.0000,1.0000,+0.0000,31.0000,5,1
53,2856,0.0000,0.0000,+0.0000,32.0000,5,1
54,2777,1.0000,1.0000,+0.0000,32.0000,5,1
55,abc398_c,0.5000,1.0000,+0.5000,32.5000,5,1
56,abc377_g,0.0000,0.0000,+0.0000,33.5000,5,1
57,3625,1.0000,1.0000,+0.0000,33.5000,5,1
58,3382,0.3333,0.3333,+0.0000,34.1667,5,1
59,3402,0.0000,0.0000,+0.0000,35.1667,5,1
60,3764,1.0000,1.0000,+0.0000,35.1667,6,1
61,2784,0.0000,0.0000,+0.0000,36.1667,6,1
62,3221,1.0000,1.0000,+0.0000,36.1667,6,1
63,3533,1.0000,1.0000,+0.0000,36.1667,6,1
64,2816,1.0000,1.0000,+0.0000,36.1667,6,1
65,3324,0.0000,0.0000,+0.0000,37.1667,6,1
66,abc354_e,0.5000,0.5000,+0.0000,37.6667,6,1
67,abc374_e,0.7500,0.0000,-0.7500,37.9167,6,1
68,abc399_a,1.0000,1.0000,+0.0000,37.9167,6,1
69,3553,1.0000,1.0000,+0.0000,37.9167,6,1
70,3398,1.0000,1.0000,+0.0000,37.9167,7,1
71,abc376_c,0.3333,0.3333,+0.0000,38.5833,7,1
