batch_idx,n_new,acc_running,cumulative_regret,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
63,10,0.6156,246.0000,90,0,64,0.000819,418,1.9,13.3,69.9
64,10,0.6138,251.0000,90,0,60,0.000262,423,1.7,13.3,70.6
65,10,0.6121,256.0000,90,0,57,0.000173,428,2.3,13.7,69.6
66,10,0.6149,258.0000,90,0,58,0.000019,436,1.6,13.5,69.6
67,10,0.6176,260.0000,90,2,63,0.000341,446,1.8,13.2,69.1
68,10,0.6217,261.0000,90,0,66,0.000397,455,1.8,13.1,64.3
69,10,0.6214,265.0000,90,0,66,0.000102,461,1.8,13.1,68.4
70,10,0.6239,267.0000,90,0,68,0.003506,469,1.7,13.2,68.3
71,10,0.6278,268.0000,90,0,69,0.000038,478,1.8,13.2,67.3
72,10,0.6219,276.0000,90,0,66,0.000885,480,1.7,13.0,67.8
73,10,0.6257,277.0000,90,0,69,0.000025,489,1.9,12.9,69.2
74,10,0.6293,278.0000,90,0,73,0.000061,498,1.9,13.1,69.5
75,10,0.6316,280.0000,90,0,76,0.000758,506,1.9,13.4,69.7
76,10,0.6299,285.0000,90,1,74,0.000160,512,1.9,14.0,69.7
77,10,0.6295,289.0000,90,0,72,0.000017,518,1.8,13.9,69.1
78,10,0.6291,293.0000,90,0,69,0.000074,524,1.9,13.9,69.7
79,10,0.6300,296.0000,90,0,70,0.000203,531,1.8,14.0,68.3
80,10,0.6309,299.0000,90,0,69,0.000030,538,1.9,14.0,71.7
81,10,0.6317,302.0000,90,0,67,0.000313,545,2.0,14.0,73.4
82,10,0.6325,305.0000,90,0,71,0.000007,552,1.7,14.3,73.6
83,10,0.6321,309.0000,90,0,68,0.000016,558,1.9,14.1,71.1
84,10,0.6353,310.0000,90,0,68,0.000043,567,1.6,14.2,70.9
85,10,0.6372,312.0000,90,0,68,0.000016,575,1.5,13.9,70.9
86,10,0.6356,317.0000,90,0,68,0.000015,580,1.7,13.7,73.4
87,10,0.6375,319.0000,90,1,71,0.000059,589,2.0,13.4,73.3
88,10,0.6371,323.0000,90,0,71,0.000065,595,1.9,13.4,73.0
89,10,0.6389,325.0000,90,0,72,0.000031,603,1.7,13.5,73.1
90,10,0.6396,328.0000,90,0,72,0.000125,610,2.0,13.3,73.0
91,10,0.6424,329.0000,90,0,74,0.000043,619,1.8,13.2,72.8
92,10,0.6419,333.0000,90,0,73,0.000476,625,1.9,13.3,72.7
93,10,0.6426,336.0000,90,0,74,0.000165,632,1.7,13.3,70.6
94,10,0.6453,337.0000,90,1,75,0.000018,642,1.9,13.6,72.7
95,10,0.6469,339.0000,90,0,75,0.000019,650,1.9,13.9,70.2
96,10,0.6495,340.0000,90,0,78,0.000128,659,1.7,14.1,71.2
97,10,0.6520,341.0000,90,0,79,0.000050,668,1.7,14.3,70.3
98,10,0.6505,346.0000,90,0,78,0.000042,673,1.9,13.8,70.5
99,10,0.6500,350.0000,90,0,76,0.000051,679,1.9,14.0,70.5
100,10,0.6485,355.0000,90,0,74,0.000010,684,1.9,14.0,71.3
101,10,0.6510,356.0000,90,0,74,0.000039,693,1.7,14.1,70.7
102,10,0.6505,360.0000,90,1,74,0.001570,700,1.8,13.8,70.8
103,10,0.6510,363.0000,90,0,74,0.001777,707,1.8,13.8,70.6
104,10,0.6495,368.0000,90,0,70,0.000057,712,1.7,13.4,70.0
105,10,0.6519,369.0000,90,0,71,0.000054,721,1.7,13.3,68.9
106,10,0.6514,373.0000,90,0,68,0.000363,727,1.8,13.4,69.6
107,10,0.6519,376.0000,90,0,66,0.000021,734,1.7,13.6,70.6
108,10,0.6532,378.0000,90,0,69,0.000089,742,1.6,13.6,70.6
109,10,0.6518,383.0000,90,0,67,0.000021,747,1.6,13.2,67.8
110,10,0.6532,385.0000,90,0,70,0.000008,755,1.8,12.8,66.9
111,10,0.6554,386.0000,90,1,71,0.000048,765,1.9,13.4,67.2
112,10,0.6558,389.0000,90,0,72,0.000024,772,1.8,13.0,67.5
113,10,0.6570,391.0000,90,0,73,0.001322,780,1.7,13.2,65.4
114,10,0.6574,394.0000,90,0,75,0.000160,787,1.7,13.2,67.8
115,10,0.6586,396.0000,90,0,74,0.000017,795,1.7,13.2,67.0
116,10,0.6590,399.0000,90,0,75,0.005554,802,1.8,13.0,65.3
117,10,0.6576,404.0000,90,0,73,0.000017,807,1.6,13.0,67.8
118,10,0.6580,407.0000,90,0,72,0.000390,814,1.6,13.1,67.5
119,10,0.6592,409.0000,90,0,74,0.000199,822,1.8,12.9,68.6
120,10,0.6587,413.0000,90,0,72,0.000394,828,1.8,13.1,67.2
121,10,0.6590,416.0000,90,0,70,0.003341,835,1.7,13.0,66.1
122,10,0.6610,417.0000,90,0,72,0.001861,844,1.9,13.1,67.8
123,10,0.6613,420.0000,90,0,71,0.000064,851,1.7,13.2,67.6
124,10,0.6632,421.0000,90,0,73,0.000343,860,1.6,13.3,67.9
125,10,0.6619,426.0000,90,0,70,0.002359,865,1.7,13.2,65.7
126,10,0.6614,430.0000,90,0,69,0.000024,871,1.6,13.1,66.2
127,10,0.6609,434.0000,90,0,70,0.000137,877,1.7,13.0,67.1
128,10,0.6605,438.0000,90,0,69,0.000141,883,1.8,13.1,66.1
129,10,0.6592,443.0000,90,0,66,0.000007,888,1.8,13.1,66.6
130,10,0.6580,448.0000,90,0,65,0.000148,893,2.0,13.1,67.2
131,10,0.6598,449.0000,90,1,68,0.000061,903,1.8,13.3,69.5
132,10,0.6594,453.0000,90,0,65,0.000606,909,1.8,13.5,70.1
133,10,0.6612,454.0000,90,0,67,0.000015,918,1.8,13.4,71.1
134,10,0.6607,458.0000,90,0,64,0.000007,924,1.6,13.7,72.4
135,10,0.6603,462.0000,90,0,65,0.000364,930,1.7,13.6,69.9
136,10,0.6606,465.0000,90,0,66,0.000087,937,1.8,13.5,71.5
137,10,0.6609,468.0000,90,0,67,0.000020,944,1.7,13.8,71.3
138,10,0.6604,472.0000,90,0,67,0.000012,950,1.7,13.7,72.6
139,10,0.6593,477.0000,90,0,67,0.000018,955,1.8,13.6,72.7
140,10,0.6589,481.0000,90,0,67,0.000036,961,1.8,13.4,69.3
141,10,0.6599,483.0000,90,0,66,0.000008,969,1.6,13.2,68.5
142,10,0.6601,486.0000,90,0,67,0.000064,976,1.8,13.1,67.0
143,10,0.6611,488.0000,90,0,66,0.000126,984,1.7,13.0,65.9
144,10,0.6607,492.0000,90,0,66,0.000019,990,1.8,13.1,68.2
145,10,0.6616,494.0000,90,0,68,0.000086,998,2.0,13.2,70.5
146,10,0.6612,498.0000,90,0,67,0.000162,1004,1.9,13.5,72.7
147,10,0.6622,500.0000,90,0,68,0.005508,1012,1.9,13.6,72.3
148,10,0.6617,504.0000,90,0,68,0.000239,1018,1.6,13.7,70.2
149,10,0.6620,507.0000,90,0,70,0.000012,1025,1.9,13.6,73.3
150,10,0.6629,509.0000,90,0,72,0.000016,1033,1.8,13.9,71.6
151,10,0.6638,511.0000,90,1,73,0.001449,1042,1.8,14.1,73.5
152,10,0.6641,514.0000,90,0,73,0.001276,1049,1.9,14.3,74.2
153,10,0.6656,515.0000,90,0,74,0.002159,1058,2.0,14.3,73.4
154,10,0.6665,517.0000,90,0,75,0.000015,1066,2.1,14.4,73.7
155,10,0.6673,519.0000,90,0,75,0.000026,1074,2.1,14.4,74.6
156,10,0.6669,523.0000,90,0,75,0.000371,1080,1.8,14.6,74.4
157,10,0.6684,524.0000,90,0,76,0.000379,1089,1.9,14.5,74.7
158,10,0.6673,529.0000,90,0,75,0.000256,1094,1.8,14.6,74.2
159,10,0.6669,533.0000,90,0,74,0.000084,1100,1.9,14.4,75.0
160,10,0.6671,536.0000,90,0,73,0.000023,1107,1.8,14.5,74.8
161,10,0.6673,539.0000,90,0,72,0.000152,1114,2.0,14.3,74.4
162,10,0.6669,543.0000,90,0,71,0.000061,1120,1.8,14.5,74.7
163,10,0.6665,547.0000,90,0,68,0.000016,1126,1.9,14.4,74.7
164,10,0.6667,550.0000,90,0,67,0.000020,1133,1.9,14.2,74.8
165,10,0.6657,555.0000,90,0,64,0.000014,1138,1.9,13.9,71.0
166,10,0.6665,557.0000,90,0,66,0.000024,1146,1.9,14.1,72.3
167,10,0.6649,563.0000,90,0,61,0.000026,1150,1.7,14.4,72.2
168,10,0.6669,563.0000,90,0,66,0.000019,1160,1.6,14.1,70.2
169,10,0.6659,568.0000,90,0,65,0.000097,1165,1.7,13.7,70.6
170,10,0.6655,572.0000,90,0,64,0.000787,1171,1.8,13.7,70.4
171,10,0.6651,576.0000,90,0,63,0.000069,1177,1.8,13.6,69.5
172,10,0.6653,579.0000,90,0,64,0.000074,1184,1.9,13.7,70.4
173,10,0.6667,580.0000,90,0,67,0.000261,1193,1.9,13.6,70.1
174,10,0.6657,585.0000,90,0,65,0.000041,1198,1.8,13.5,69.9
175,10,0.6653,589.0000,90,0,66,0.000376,1204,1.6,13.4,67.6
176,4,0.6644,592.0000,90,0,59,0.000168,1205,1.1,13.2,67.9
