batch_idx,n_new,acc_running,cumulative_regret,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
0,10,0.4000,6.0000,0,0,4,0.000106,4,1.6,0.0,6.1
1,10,0.4000,12.0000,10,1,9,0.010731,9,1.3,1.4,11.5
2,10,0.3667,19.0000,20,0,12,0.020903,12,1.5,2.7,15.5
3,10,0.3750,25.0000,30,2,18,0.009596,18,1.4,4.2,22.0
4,10,0.4000,30.0000,40,2,25,0.004500,25,1.4,5.4,29.9
5,10,0.4000,36.0000,50,2,31,0.000179,31,1.5,6.8,36.2
6,10,0.4000,42.0000,60,0,35,0.000692,35,1.5,8.1,40.7
7,10,0.3875,49.0000,70,1,39,0.000821,39,1.5,9.5,52.5
8,10,0.3778,56.0000,80,2,44,0.000191,44,1.5,10.8,51.1
9,10,0.3800,62.0000,90,0,48,0.007660,48,1.5,12.2,57.2
10,10,0.4273,63.0000,90,0,52,0.000168,57,1.6,12.1,57.9
11,10,0.4167,70.0000,90,0,49,0.000181,60,1.7,12.3,59.9
12,10,0.4308,74.0000,90,0,51,0.005837,66,1.5,12.6,61.0
13,10,0.4357,79.0000,90,0,49,0.001415,71,1.6,12.6,60.1
14,10,0.4600,81.0000,90,2,54,0.000371,81,1.7,12.6,64.0
15,10,0.4813,83.0000,90,2,59,0.000359,91,1.6,12.5,64.6
16,10,0.4882,87.0000,90,0,60,0.000047,97,1.6,12.7,64.0
17,10,0.5000,90.0000,90,0,61,0.002618,104,1.7,12.6,64.5
18,10,0.5105,93.0000,90,0,65,0.000181,111,1.5,12.9,64.5
19,10,0.5150,97.0000,90,1,67,0.000273,118,1.6,12.8,62.0
20,10,0.5095,103.0000,90,0,62,0.000675,122,1.6,12.7,64.5
21,10,0.5227,105.0000,90,0,67,0.000037,130,1.6,12.5,62.1
22,10,0.5217,110.0000,90,0,66,0.000589,135,1.8,12.5,61.8
23,10,0.5167,116.0000,90,1,65,0.000373,140,1.7,12.5,61.6
24,10,0.5160,121.0000,90,0,62,0.000200,145,1.7,12.4,61.3
25,10,0.5192,125.0000,90,0,60,0.000157,151,1.7,12.7,60.2
26,10,0.5222,129.0000,90,1,60,0.000081,158,1.8,12.8,63.3
27,10,0.5321,131.0000,90,1,62,0.000549,167,1.8,12.7,63.1
28,10,0.5379,134.0000,90,0,62,0.003087,174,1.8,13.0,62.9
29,10,0.5467,136.0000,90,5,68,0.000201,187,1.7,13.1,65.5
30,10,0.5548,138.0000,90,0,72,0.000029,195,1.6,13.3,66.0
31,10,0.5594,141.0000,90,0,70,0.000139,202,1.7,13.4,65.6
32,10,0.5697,142.0000,90,0,74,0.001033,211,1.6,13.3,66.0
33,10,0.5676,147.0000,90,0,74,0.006160,216,1.7,13.3,66.4
34,10,0.5743,149.0000,90,0,76,0.000052,224,1.6,13.1,65.3
35,10,0.5833,150.0000,90,0,78,0.000843,233,1.5,13.1,65.8
36,10,0.5811,155.0000,90,0,77,0.000251,238,1.7,12.8,65.4
37,10,0.5842,158.0000,90,1,75,0.000239,246,1.8,12.6,65.3
38,10,0.5872,161.0000,90,0,74,0.000152,253,1.5,12.6,62.5
39,10,0.5925,163.0000,90,0,74,0.000044,261,1.7,12.4,65.1
40,10,0.5951,166.0000,90,0,73,0.001061,268,1.7,12.4,64.7
41,10,0.5929,171.0000,90,0,70,0.000840,273,1.8,12.4,62.9
42,10,0.5953,174.0000,90,0,68,0.000747,280,1.8,12.7,66.3
43,10,0.5977,177.0000,90,0,70,0.000074,287,1.8,12.8,66.2
44,10,0.6022,179.0000,90,0,70,0.000022,295,1.8,13.2,68.5
45,10,0.6043,182.0000,90,0,68,0.000113,302,1.6,13.4,68.1
46,10,0.6043,186.0000,90,0,69,0.000211,308,1.7,14.6,67.7
47,10,0.6104,187.0000,90,0,71,0.000175,317,1.7,13.0,68.0
48,10,0.6082,192.0000,90,0,69,0.010246,322,1.7,13.4,67.9
49,10,0.6040,198.0000,90,0,65,0.003194,326,1.7,13.3,67.9
50,10,0.6039,202.0000,90,0,64,0.000061,332,1.7,13.2,67.9
51,10,0.6096,203.0000,90,0,68,0.000900,341,1.6,13.0,67.1
52,10,0.6132,205.0000,90,0,69,0.005414,349,1.7,12.8,67.8
53,10,0.6111,210.0000,90,0,67,0.001090,354,2.0,12.7,72.3
54,10,0.6164,211.0000,90,0,68,0.000100,363,2.0,12.9,73.7
55,10,0.6196,213.0000,90,0,69,0.000549,371,1.7,13.2,72.8
56,10,0.6211,216.0000,90,0,70,0.000101,378,1.7,13.3,72.2
57,10,0.6190,221.0000,90,0,66,0.000904,383,1.8,13.6,74.0
58,10,0.6186,225.0000,90,0,67,0.000022,389,1.9,13.2,72.3
59,10,0.6183,229.0000,90,0,69,0.000189,395,1.8,13.4,71.3
60,10,0.6180,233.0000,90,0,69,0.000902,401,1.7,13.5,71.1
61,10,0.6194,236.0000,90,0,67,0.000050,408,1.7,13.6,69.9
62,10,0.6159,242.0000,90,0,63,0.000056,412,1.8,13.5,71.4
