batch_idx,n_train,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,pg_loss,mean_kl,adv_std,ppo_clipfrac,gen_time_s,train_time_s
314,100,0.3381,2085.0000,0.2796,0.3540,0.3575,0.138124,-49.916277,28.9655,0.3441,21.8,15.2
315,100,0.3370,2095.0000,0.2792,0.3535,0.3552,0.107864,-52.448438,29.4767,0.3866,21.9,15.4
316,100,0.3360,2105.0000,0.2781,0.3532,0.3534,940571.932934,-50.516043,29.1490,0.3744,22.3,15.6
317,100,0.3349,2115.0000,0.2769,0.3521,0.3524,3422585.396875,-51.811758,29.7482,0.3468,21.6,15.6
318,100,0.3339,2125.0000,0.2762,0.3511,0.3512,2044731.752882,-53.306455,29.0413,0.3615,21.8,15.6
319,100,0.3328,2135.0000,0.2751,0.3508,0.3493,67512.488951,-53.140885,29.5991,0.3683,22.1,16.1
320,100,0.3318,2145.0000,0.2743,0.3503,0.3475,0.440146,-51.664963,30.8089,0.3534,22.1,16.3
321,100,0.3307,2155.0000,0.2732,0.3492,0.3466,0.167872,-54.714941,32.5852,0.3275,21.6,16.1
322,100,0.3297,2165.0000,0.2721,0.3482,0.3457,0.150230,-61.581599,33.8657,0.3656,22.0,16.0
323,100,0.3287,2175.0000,0.2718,0.3461,0.3454,0.090319,-65.857876,35.1394,0.4082,21.6,16.0
324,100,0.3277,2185.0000,0.2710,0.3445,0.3448,41.695421,-69.077649,36.3397,0.4775,21.8,15.6
325,100,0.3267,2195.0000,0.2703,0.3432,0.3439,0.593334,-73.621926,37.5406,0.5158,21.8,15.4
326,100,0.3257,2205.0000,0.2699,0.3420,0.3428,2.140929,-79.410861,39.1866,0.5188,22.0,15.2
327,100,0.3247,2215.0000,0.2692,0.3410,0.3416,0.115368,-84.615833,40.2557,0.4868,22.0,15.2
328,100,0.3237,2225.0000,0.2685,0.3402,0.3401,18271.181725,-89.742144,41.7696,0.5372,21.6,15.2
329,100,0.3227,2235.0000,0.2675,0.3390,0.3396,1958.261446,-95.572699,43.0740,0.5527,21.8,14.7
330,100,0.3218,2245.0000,0.2668,0.3382,0.3381,929.260002,-102.594915,43.8470,0.5549,22.0,14.3
331,100,0.3208,2255.0000,0.2661,0.3367,0.3376,0.018889,-106.232202,43.7489,0.6706,22.0,14.3
332,100,0.3198,2265.0000,0.2661,0.3350,0.3367,-0.058899,-106.093608,43.5778,0.7768,21.7,14.3
333,100,0.3189,2275.0000,0.2654,0.3341,0.3356,28919.489934,-102.807725,43.4521,0.8133,22.1,14.5
334,100,0.3179,2285.0000,0.2647,0.3329,0.3347,40725.856187,-99.251644,43.7397,0.8027,21.5,14.6
335,100,0.3170,2295.0000,0.2636,0.3321,0.3336,3187.047096,-96.739557,45.3918,0.7520,22.1,14.8
336,100,0.3160,2305.0000,0.2630,0.3309,0.3328,2366.510921,-94.118023,46.7209,0.6860,22.1,14.7
337,100,0.3151,2315.0000,0.2619,0.3300,0.3320,1.031275,-92.181417,47.8813,0.5926,22.0,14.7
338,100,0.3142,2325.0000,0.2609,0.3288,0.3314,77.341561,-91.494140,49.4138,0.5312,21.8,14.6
339,100,0.3132,2335.0000,0.2593,0.3286,0.3303,0.564812,-91.783389,51.1499,0.4757,21.8,14.9
340,100,0.3123,2345.0000,0.2593,0.3272,0.3292,9.450593,-93.019741,52.9926,0.4816,21.9,14.7
341,100,0.3114,2355.0000,0.2589,0.3260,0.3281,0.305490,-95.984129,54.4667,0.3994,21.7,14.9
342,100,0.3105,2365.0000,0.2579,0.3254,0.3271,0.268886,-100.479893,56.2378,0.4125,22.1,14.9
343,100,0.3096,2375.0000,0.2573,0.3240,0.3265,0.224425,-109.942243,58.0718,0.4019,21.8,14.8
