batch_idx,n_train,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,pg_loss,mean_kl,adv_std,ppo_clipfrac,gen_time_s,train_time_s
66,99,0.4418,374.0000,0.3094,0.4701,0.5493,-0.280038,0.075464,0.4578,0.0677,6.3,13.8
67,99,0.4441,378.0000,0.3080,0.4664,0.5596,-0.347277,0.063035,0.4577,0.0520,3.2,14.0
68,99,0.4435,384.0000,0.3128,0.4628,0.5566,-0.301611,0.061901,0.4656,0.0582,5.4,14.0
69,99,0.4457,388.0000,0.3190,0.4653,0.5561,-0.307993,0.061441,0.4682,0.0611,14.2,14.0
70,99,0.4493,391.0000,0.3234,0.4720,0.5556,-0.319950,0.058734,0.4762,0.0735,3.9,13.9
71,99,0.4500,396.0000,0.3249,0.4722,0.5541,-0.427036,0.057531,0.4595,0.0655,12.0,13.8
72,99,0.4521,400.0000,0.3264,0.4724,0.5570,-0.481089,0.062151,0.4610,0.0644,5.9,14.1
73,99,0.4554,403.0000,0.3264,0.4747,0.5643,-0.627343,0.056458,0.4398,0.0605,3.9,14.1
74,100,0.4573,407.0000,0.3320,0.4788,0.5587,-0.433770,0.060137,0.4791,0.0595,4.5,14.6
75,100,0.4579,412.0000,0.3347,0.4791,0.5582,-0.411670,0.057772,0.4863,0.0608,3.2,14.2
76,100,0.4571,418.0000,0.3333,0.4774,0.5595,-0.401608,0.065289,0.4830,0.0592,8.8,14.3
77,100,0.4564,424.0000,0.3346,0.4797,0.5529,-0.461021,0.086693,0.4699,0.0532,10.5,14.1
78,100,0.4557,430.0000,0.3295,0.4818,0.5543,-0.464791,0.109224,0.4695,0.0581,2.9,14.0
79,100,0.4562,435.0000,0.3295,0.4838,0.5534,-0.475878,0.112588,0.4643,0.0598,4.6,13.9
80,100,0.4580,439.0000,0.3295,0.4820,0.5597,-0.454619,0.121539,0.4640,0.0584,3.4,14.2
80,100,0.4605,437.0000,0.3371,0.4820,0.5597,-0.443651,0.121539,0.4721,0.0584,5.2,15.4
81,100,0.4610,442.0000,0.3408,0.4858,0.5535,-0.333557,0.132359,0.4864,0.0599,3.0,13.9
82,100,0.4590,449.0000,0.3370,0.4858,0.5527,-0.336846,0.127911,0.4795,0.0544,7.4,14.1
83,100,0.4631,451.0000,0.3345,0.4965,0.5560,-0.344033,0.141803,0.4815,0.0550,2.8,14.1
80,100,0.4605,437.0000,0.3371,0.4820,0.5597,-0.443651,0.121539,0.4721,0.0584,4.9,15.4
81,100,0.4610,442.0000,0.3408,0.4858,0.5535,-0.333451,0.132318,0.4864,0.0576,3.0,13.8
82,100,0.4602,448.0000,0.3407,0.4858,0.5527,-0.257189,0.127163,0.4906,0.0523,6.3,14.1
83,100,0.4643,450.0000,0.3382,0.4965,0.5560,-0.261269,0.141087,0.4925,0.0537,2.8,14.0
84,100,0.4647,455.0000,0.3417,0.4966,0.5536,-0.272169,0.156917,0.4896,0.0570,3.6,13.6
85,100,0.4686,457.0000,0.3452,0.5000,0.5579,-0.315336,0.159899,0.4912,0.0609,4.2,13.8
86,100,0.4678,463.0000,0.3439,0.5000,0.5571,-0.322428,0.168592,0.4910,0.0593,8.8,13.8
87,100,0.4693,467.0000,0.3472,0.5034,0.5544,-0.188488,0.137819,0.5007,0.0485,4.4,13.9
88,100,0.4708,471.0000,0.3447,0.5067,0.5589,-0.254815,0.116281,0.5021,0.0523,6.3,14.1
89,100,0.4689,478.0000,0.3467,0.5067,0.5533,-0.242240,0.116187,0.5010,0.0491,5.3,14.3
90,100,0.4692,483.0000,0.3477,0.5115,0.5479,-0.255649,0.122706,0.4962,0.0509,4.0,14.1
91,100,0.4728,485.0000,0.3497,0.5162,0.5523,-0.347024,0.118108,0.4929,0.0518,6.1,14.0
92,100,0.4742,489.0000,0.3485,0.5223,0.5502,-0.396326,0.129125,0.4919,0.0449,3.7,13.7
93,100,0.4723,496.0000,0.3485,0.5219,0.5431,-0.337875,0.133840,0.4875,0.0423,3.0,14.0
94,100,0.4737,500.0000,0.3516,0.5263,0.5394,-0.358288,0.114219,0.4872,0.0417,4.7,14.2
95,100,0.4719,507.0000,0.3505,0.5229,0.5373,-0.456877,0.118680,0.4548,0.0468,18.0,14.1
95,100,0.4719,507.0000,0.3505,0.5229,0.5373,-0.456877,0.118680,0.4548,0.0468,18.7,15.7
96,100,0.4732,511.0000,0.3546,0.5181,0.5415,-0.379815,0.125834,0.4728,0.0479,3.3,14.8
97,100,0.4714,518.0000,0.3567,0.5148,0.5366,-0.349900,0.169150,0.4675,0.0586,5.2,14.0
98,100,0.4737,521.0000,0.3567,0.5160,0.5405,-0.316335,0.178950,0.4735,0.0743,3.0,14.6
99,100,0.4740,526.0000,0.3556,0.5187,0.5385,-0.352853,0.181033,0.4739,0.0787,3.6,14.5
100,100,0.4743,531.0000,0.3553,0.5185,0.5396,-0.404502,0.189858,0.4683,0.0839,6.0,14.3
101,100,0.4765,534.0000,0.3571,0.5226,0.5407,-0.325352,0.199897,0.4760,0.0919,4.0,14.6
102,100,0.4777,538.0000,0.3560,0.5250,0.5418,-0.328274,0.198068,0.4762,0.0883,3.8,14.2
103,100,0.4788,542.0000,0.3589,0.5246,0.5431,-0.348843,0.186427,0.4809,0.0732,5.7,13.7
104,100,0.4771,549.0000,0.3576,0.5216,0.5429,-0.372917,0.190399,0.4694,0.0844,5.1,13.5
105,100,0.4774,554.0000,0.3554,0.5225,0.5442,-0.264620,0.190181,0.4925,0.0844,4.6,13.3
106,100,0.4785,558.0000,0.3593,0.5211,0.5449,-0.293017,0.176983,0.4868,0.0774,10.0,13.4
107,100,0.4787,563.0000,0.3582,0.5196,0.5470,-0.384213,0.156423,0.4822,0.0680,5.0,13.8
108,100,0.4798,567.0000,0.3571,0.5220,0.5477,-0.421024,0.157100,0.4737,0.0679,6.5,13.9
109,100,0.4791,573.0000,0.3591,0.5216,0.5432,-0.387817,0.186835,0.4759,0.0838,2.8,13.8
110,100,0.4811,576.0000,0.3628,0.5227,0.5440,-0.338486,0.176240,0.4858,0.0880,3.1,14.3
110,100,0.4811,576.0000,0.3628,0.5227,0.5440,-0.338486,0.176240,0.4858,0.0880,4.3,15.3
111,100,0.4795,583.0000,0.3636,0.5186,0.5426,-0.368989,0.171239,0.4738,0.1014,4.9,13.9
112,100,0.4788,589.0000,0.3652,0.5184,0.5397,-0.351329,0.181165,0.4702,0.1065,4.7,13.9
113,100,0.4816,591.0000,0.3689,0.5194,0.5433,-0.356045,0.178175,0.4758,0.1163,3.7,14.0
114,100,0.4817,596.0000,0.3689,0.5203,0.5417,-0.331917,0.190537,0.4851,0.1135,2.8,14.1
115,100,0.4810,602.0000,0.3675,0.5213,0.5401,-0.275946,0.184040,0.4881,0.1147,3.2,14.4
116,100,0.4803,608.0000,0.3644,0.5211,0.5410,-0.288995,0.203444,0.4854,0.1261,4.2,14.2
117,100,0.4797,614.0000,0.3624,0.5221,0.5392,-0.374617,0.190920,0.4720,0.1242,7.5,14.3
118,100,0.4790,620.0000,0.3613,0.5219,0.5375,-0.347963,0.188804,0.4708,0.1219,4.6,13.7
119,100,0.4808,623.0000,0.3613,0.5262,0.5371,-0.384693,0.179999,0.4744,0.1053,2.2,13.7
120,100,0.4826,626.0000,0.3657,0.5271,0.5381,-0.380977,0.198560,0.4734,0.1137,3.3,13.5
121,100,0.4803,634.0000,0.3654,0.5224,0.5366,-0.431924,0.212307,0.4560,0.0968,8.8,13.7
122,100,0.4829,636.0000,0.3661,0.5265,0.5388,-0.489957,0.208388,0.4603,0.0948,5.8,13.8
123,100,0.4839,640.0000,0.3686,0.5285,0.5373,-0.454641,0.232005,0.4593,0.0901,4.6,13.9
124,100,0.4856,643.0000,0.3703,0.5293,0.5394,-0.458258,0.241363,0.4648,0.0739,3.4,13.9
125,100,0.4857,648.0000,0.3683,0.5290,0.5414,-0.494899,0.259563,0.4619,0.0874,3.8,14.0
126,100,0.4843,655.0000,0.3690,0.5278,0.5374,-0.481909,0.250682,0.4548,0.0904,8.7,14.2
127,100,0.4859,658.0000,0.3714,0.5255,0.5427,-0.393052,0.262780,0.4728,0.1102,3.9,14.1
128,100,0.4860,663.0000,0.3694,0.5284,0.5413,-0.384743,0.303507,0.4769,0.1090,3.3,14.1
129,100,0.4869,667.0000,0.3708,0.5314,0.5399,-0.371207,0.285854,0.4784,0.1092,4.2,14.2
130,100,0.4870,672.0000,0.3721,0.5332,0.5374,-0.402859,0.279352,0.4747,0.1114,5.9,14.1
131,100,0.4871,677.0000,0.3728,0.5320,0.5381,-0.472819,0.266630,0.4691,0.0978,13.5,14.3
132,100,0.4872,682.0000,0.3728,0.5316,0.5378,-0.635235,0.291084,0.4324,0.0961,23.6,14.6
133,100,0.4888,685.0000,0.3760,0.5323,0.5386,-0.648304,0.306041,0.4312,0.0933,6.0,14.4
134,100,0.4904,688.0000,0.3740,0.5351,0.5415,-0.723201,0.300401,0.4219,0.0942,7.9,14.4
135,100,0.4912,692.0000,0.3740,0.5347,0.5433,-0.773469,0.292156,0.4156,0.0813,5.8,14.2
136,100,0.4927,695.0000,0.3747,0.5354,0.5460,-0.779642,0.298957,0.4334,0.0728,4.7,14.2
137,100,0.4920,701.0000,0.3759,0.5322,0.5470,-0.830032,0.287749,0.4047,0.0748,11.5,13.8
138,100,0.4914,707.0000,0.3747,0.5331,0.5455,-0.822134,0.266327,0.4020,0.0754,4.7,13.8
139,100,0.4936,709.0000,0.3778,0.5365,0.5453,-0.838018,0.285069,0.4065,0.0908,4.6,13.9
140,100,0.4943,713.0000,0.3778,0.5410,0.5417,-0.850272,0.285494,0.4062,0.1037,2.6,14.2
141,100,0.4951,717.0000,0.3793,0.5406,0.5423,-0.722096,0.276485,0.4335,0.0998,4.1,14.1
142,100,0.4951,722.0000,0.3799,0.5393,0.5430,-0.725541,0.243386,0.4248,0.1041,23.7,14.0
143,100,0.4958,726.0000,0.3790,0.5414,0.5430,-0.772185,0.303549,0.4150,0.1040,5.1,13.8
144,100,0.4945,733.0000,0.3753,0.5423,0.5416,-0.754953,0.280161,0.3993,0.1309,13.6,13.7
145,100,0.4966,735.0000,0.3759,0.5463,0.5425,-0.771390,0.273150,0.4003,0.1240,12.0,13.6
146,100,0.4973,739.0000,0.3750,0.5486,0.5422,-0.800236,0.252763,0.3855,0.1261,11.0,13.6
147,100,0.4980,743.0000,0.3771,0.5492,0.5418,-0.756736,0.256400,0.4047,0.0970,4.3,13.8
148,100,0.4987,747.0000,0.3777,0.5488,0.5435,-0.823043,0.245498,0.3989,0.0863,10.1,13.8
149,100,0.4987,752.0000,0.3768,0.5503,0.5421,-0.811430,0.222239,0.3892,0.0843,2.9,14.0
150,100,0.4974,759.0000,0.3762,0.5493,0.5409,-0.768149,0.201865,0.3808,0.0823,11.7,13.8
151,100,0.4967,765.0000,0.3764,0.5501,0.5386,-0.711787,0.223280,0.3874,0.0858,8.0,13.8
152,100,0.4967,770.0000,0.3761,0.5497,0.5393,-0.704224,0.239822,0.3969,0.0703,23.2,13.8
153,100,0.4968,775.0000,0.3764,0.5496,0.5401,-0.682757,0.134024,0.3978,0.0533,5.0,14.2
154,100,0.4968,780.0000,0.3775,0.5502,0.5389,-0.633242,0.159252,0.4143,0.0505,5.7,14.2
155,100,0.4962,786.0000,0.3767,0.5497,0.5377,-0.481555,0.201310,0.4238,0.0533,12.8,14.2
156,100,0.4962,791.0000,0.3750,0.5495,0.5392,-0.485145,0.220788,0.4282,0.0704,4.6,14.4
157,100,0.4962,796.0000,0.3756,0.5492,0.5389,-0.470445,0.228984,0.4195,0.0777,10.3,14.4
158,100,0.4956,802.0000,0.3747,0.5485,0.5379,-0.329436,0.197499,0.4217,0.0874,13.0,14.3
159,100,0.4963,806.0000,0.3747,0.5506,0.5366,-0.429769,0.206882,0.4086,0.0853,23.4,14.6
160,100,0.4963,811.0000,0.3767,0.5493,0.5365,-0.426233,0.319345,0.4142,0.0841,10.4,14.5
161,100,0.4975,814.0000,0.3786,0.5499,0.5380,-0.527383,0.301518,0.4007,0.1090,9.5,14.5
162,100,0.4975,819.0000,0.3769,0.5519,0.5369,-0.409711,0.301909,0.4041,0.1101,5.5,14.2
163,100,0.4957,827.0000,0.3753,0.5507,0.5341,-0.476850,0.323860,0.3838,0.1071,13.7,14.2
164,100,0.4945,834.0000,0.3758,0.5478,0.5331,-0.522160,0.314704,0.3612,0.1077,11.4,14.0
165,100,0.4964,836.0000,0.3758,0.5503,0.5348,-0.665204,0.283034,0.3564,0.0929,7.4,15.2
166,100,0.4952,843.0000,0.3763,0.5469,0.5345,-0.753039,0.253223,0.3426,0.0979,21.7,13.8
167,100,0.4946,849.0000,0.3763,0.5464,0.5325,-0.777335,0.258942,0.3320,0.1018,9.0,13.7
168,100,0.4947,854.0000,0.3761,0.5455,0.5340,-0.950515,0.286061,0.3059,0.0863,11.2,13.9
169,100,0.4947,859.0000,0.3745,0.5473,0.5331,-0.943191,0.330480,0.3115,0.0895,16.7,13.5
170,100,0.4942,865.0000,0.3745,0.5453,0.5329,-0.964532,0.228270,0.3006,0.0640,21.9,13.8
171,100,0.4948,869.0000,0.3771,0.5459,0.5317,-0.952280,0.231030,0.2965,0.0680,11.6,13.8
172,100,0.4965,871.0000,0.3776,0.5493,0.5324,-1.036807,0.228212,0.3029,0.0558,11.3,13.9
173,100,0.4971,875.0000,0.3761,0.5511,0.5331,-1.108787,0.207598,0.3080,0.0476,21.7,13.9
174,100,0.4983,878.0000,0.3787,0.5510,0.5345,-1.128588,0.188459,0.3241,0.0527,10.1,14.2
175,100,0.4977,884.0000,0.3779,0.5520,0.5318,-1.034296,0.197180,0.3158,0.0604,15.7,14.3
176,100,0.4983,888.0000,0.3755,0.5538,0.5333,-1.063380,0.222300,0.3223,0.0696,9.1,14.1
177,100,0.4989,892.0000,0.3760,0.5535,0.5348,-1.066202,0.237394,0.3344,0.0662,9.3,14.2
178,100,0.4994,896.0000,0.3737,0.5541,0.5377,-1.071244,0.229805,0.3405,0.0587,6.7,14.5
179,100,0.4989,902.0000,0.3730,0.5524,0.5382,-0.961626,0.175336,0.3365,0.0586,11.0,14.7
180,100,0.5000,905.0000,0.3730,0.5540,0.5388,-1.019936,0.162265,0.3358,0.0622,16.0,14.4
181,100,0.5005,909.0000,0.3735,0.5530,0.5409,-0.941970,0.154370,0.3380,0.0676,18.3,14.5
182,100,0.5011,913.0000,0.3760,0.5521,0.5414,-0.858246,0.160430,0.3281,0.0788,14.5,14.8
183,100,0.5022,916.0000,0.3765,0.5538,0.5420,-0.749069,0.175639,0.3423,0.0823,14.1,14.8
184,100,0.5022,921.0000,0.3750,0.5557,0.5409,-0.732291,0.199962,0.3436,0.0810,8.0,14.8
185,100,0.5032,924.0000,0.3755,0.5569,0.5421,-0.769308,0.190616,0.3613,0.0808,7.3,15.0
186,100,0.5027,930.0000,0.3747,0.5566,0.5410,-0.790304,0.188607,0.3370,0.0855,22.0,15.2
187,100,0.5011,938.0000,0.3725,0.5528,0.5424,-0.646352,0.133733,0.3303,0.0971,21.8,15.3
188,100,0.5000,945.0000,0.3715,0.5519,0.5414,-0.724705,0.142453,0.3252,0.0935,22.5,15.0
189,100,0.5011,948.0000,0.3708,0.5528,0.5435,-0.808580,0.189717,0.3275,0.0941,21.9,14.9
190,100,0.5016,952.0000,0.3706,0.5532,0.5449,-0.731035,0.222186,0.3384,0.1049,22.1,15.0
191,100,0.5021,956.0000,0.3691,0.5541,0.5463,-0.580415,0.229454,0.4016,0.0937,22.0,14.7
192,100,0.5031,959.0000,0.3684,0.5544,0.5490,-0.611214,0.217292,0.4011,0.0873,21.5,14.6
193,100,0.5031,964.0000,0.3696,0.5539,0.5480,-0.540966,0.219007,0.4060,0.0783,16.3,14.6
194,100,0.5036,968.0000,0.3696,0.5535,0.5493,-0.588136,0.206139,0.3935,0.0817,17.7,14.5
195,100,0.5041,972.0000,0.3702,0.5540,0.5496,-0.595539,0.196719,0.3879,0.0794,22.4,14.5
196,100,0.5041,977.0000,0.3726,0.5532,0.5484,-0.516397,0.192478,0.4026,0.0892,20.5,14.6
197,100,0.5040,982.0000,0.3704,0.5544,0.5488,-0.508497,0.209827,0.4264,0.0917,22.6,14.6
198,100,0.5040,987.0000,0.3709,0.5535,0.5491,-0.343118,0.199987,0.4427,0.0818,21.6,14.5
199,100,0.5040,992.0000,0.3695,0.5527,0.5509,-0.182076,0.143303,0.4815,0.0914,22.3,14.8
200,100,0.5035,998.0000,0.3688,0.5530,0.5492,-0.128694,0.132577,0.4819,0.0765,19.9,14.9
201,100,0.5030,1004.0000,0.3693,0.5515,0.5489,-0.081554,0.128771,0.4415,0.0686,22.3,15.0
202,100,0.5020,1011.0000,0.3679,0.5508,0.5478,0.030090,0.110055,0.4438,0.0859,20.3,15.5
203,100,0.5029,1014.0000,0.3672,0.5516,0.5497,0.141273,0.070274,0.7765,0.1048,21.5,15.4
204,100,0.5020,1021.0000,0.3665,0.5533,0.5451,0.213352,0.065904,0.8123,0.1395,5.7,15.6
205,100,0.5005,1029.0000,0.3659,0.5513,0.5433,0.333112,0.056243,0.8001,0.1700,21.6,15.6
206,100,0.4995,1036.0000,0.3645,0.5518,0.5409,0.331847,0.015655,0.8172,0.2000,23.7,15.8
207,100,0.4981,1044.0000,0.3638,0.5517,0.5371,0.346601,-0.004776,0.8332,0.2465,22.9,16.2
208,100,0.4971,1051.0000,0.3655,0.5503,0.5349,0.343514,-0.091964,1.1239,0.4831,22.1,16.4
209,100,0.4957,1059.0000,0.3641,0.5494,0.5327,0.386401,-0.126332,1.1655,0.6296,21.6,16.2
210,100,0.4938,1068.0000,0.3640,0.5487,0.5285,0.412134,-0.222065,1.2332,0.6799,22.6,16.9
211,100,0.4939,1073.0000,0.3645,0.5496,0.5271,0.415814,-0.305539,1.2395,0.6651,21.8,16.9
212,100,0.4920,1082.0000,0.3638,0.5474,0.5243,0.381036,-0.392129,1.3864,0.6510,22.5,17.0
213,100,0.4907,1090.0000,0.3638,0.5466,0.5209,0.373846,-0.446097,1.4199,0.5642,22.0,17.6
214,100,0.4888,1099.0000,0.3625,0.5458,0.5175,0.304190,-0.500911,1.3870,0.4707,22.2,17.8
215,100,0.4870,1108.0000,0.3612,0.5437,0.5155,0.254228,-0.563124,1.3689,0.4166,22.1,17.9
216,100,0.4848,1118.0000,0.3605,0.5411,0.5122,0.200021,-0.615921,1.3654,0.3567,22.2,18.0
217,100,0.4826,1128.0000,0.3605,0.5366,0.5102,0.131461,-0.682122,1.3638,0.3230,22.4,18.0
218,100,0.4804,1138.0000,0.3599,0.5341,0.5070,0.078580,-0.614914,1.3233,0.3114,21.8,18.2
219,100,0.4782,1148.0000,0.3586,0.5304,0.5057,0.032057,-0.651694,1.3515,0.2961,21.9,18.4
220,100,0.4760,1158.0000,0.3573,0.5273,0.5038,0.019323,-0.644463,1.3455,0.2916,21.9,18.1
221,100,0.4739,1168.0000,0.3573,0.5242,0.5006,-0.025236,-0.634905,1.3369,0.2882,22.3,18.9
222,100,0.4717,1178.0000,0.3573,0.5212,0.4975,-0.027068,-0.611316,1.2979,0.2911,21.9,18.7
223,100,0.4701,1187.0000,0.3554,0.5188,0.4969,-0.026553,-0.601587,1.2854,0.3257,21.7,18.4
224,100,0.4684,1196.0000,0.3546,0.5170,0.4950,-0.042575,-0.624014,1.3094,0.3484,22.1,18.2
225,100,0.4664,1206.0000,0.3534,0.5141,0.4932,-0.045970,-0.625112,1.2952,0.3572,21.8,18.3
226,100,0.4648,1215.0000,0.3527,0.5101,0.4932,-0.018438,-0.425092,1.3053,0.3711,21.7,17.8
227,100,0.4627,1225.0000,0.3521,0.5067,0.4914,-0.014439,-0.413832,1.3769,0.4192,22.0,17.8
228,100,0.4607,1235.0000,0.3521,0.5028,0.4896,-0.020781,-0.494031,1.5441,0.4239,21.9,17.7
229,100,0.4587,1245.0000,0.3521,0.5000,0.4866,-0.013245,-0.506470,1.6488,0.3955,22.3,18.1
230,100,0.4571,1254.0000,0.3526,0.4978,0.4843,-0.005796,-0.517138,1.7340,0.3795,22.0,18.3
231,100,0.4552,1264.0000,0.3508,0.4962,0.4819,0.001866,-0.529274,1.7747,0.3728,22.0,18.0
232,100,0.4532,1274.0000,0.3502,0.4951,0.4779,0.005847,-0.559722,1.8761,0.3517,22.3,18.1
233,100,0.4513,1284.0000,0.3490,0.4924,0.4762,-0.003205,-0.606905,2.0094,0.3224,21.9,18.2
234,100,0.4494,1294.0000,0.3478,0.4908,0.4734,-0.002405,-0.622177,2.0729,0.3204,23.3,18.7
235,100,0.4475,1304.0000,0.3478,0.4882,0.4706,0.005404,-0.685623,2.2502,0.3413,21.9,18.9
236,100,0.4456,1314.0000,0.3472,0.4851,0.4689,-0.022329,-0.887079,2.2188,0.3341,22.4,19.1
237,100,0.4437,1324.0000,0.3454,0.4835,0.4667,-0.035665,-0.931284,2.2525,0.3263,22.2,19.2
238,100,0.4418,1334.0000,0.3430,0.4815,0.4657,-0.021383,-0.956998,2.3534,0.3228,21.8,19.0
239,100,0.4400,1344.0000,0.3424,0.4779,0.4646,-0.028437,-0.948277,2.3809,0.3263,21.6,18.6
240,100,0.4382,1354.0000,0.3413,0.4769,0.4614,-0.022064,-0.931757,2.3816,0.3287,22.6,18.7
241,100,0.4364,1364.0000,0.3407,0.4740,0.4598,-0.015713,-0.950886,2.4346,0.3308,21.9,18.7
242,100,0.4346,1374.0000,0.3407,0.4705,0.4582,-0.001518,-0.888141,2.5051,0.3410,21.8,18.3
243,100,0.4328,1384.0000,0.3390,0.4696,0.4556,0.014700,-0.864351,2.6438,0.3329,22.3,18.4
244,100,0.4314,1393.0000,0.3384,0.4677,0.4540,0.029871,-0.808372,2.7566,0.3100,21.9,18.1
245,100,0.4297,1403.0000,0.3378,0.4653,0.4520,0.053589,-0.678527,2.7769,0.2832,22.1,18.0
246,100,0.4279,1413.0000,0.3361,0.4634,0.4505,0.064448,-0.702172,3.1216,0.2808,24.3,17.9
247,100,0.4262,1423.0000,0.3344,0.4611,0.4494,0.070790,-0.643417,3.1453,0.2682,21.9,17.6
248,100,0.4245,1433.0000,0.3333,0.4592,0.4474,0.071448,-0.584333,3.1339,0.2678,23.6,17.9
249,99,0.4232,1442.0000,0.3333,0.4570,0.4459,0.072384,-0.527897,3.1138,0.2604,19.6,17.8
250,99,0.4215,1452.0000,0.3322,0.4547,0.4444,0.073685,-0.504921,3.1596,0.2493,22.3,17.6
251,99,0.4198,1462.0000,0.3311,0.4529,0.4425,0.069210,-0.445502,3.0613,0.3211,21.7,17.4
252,98,0.4182,1472.0000,0.3300,0.4511,0.4405,0.069370,-0.480179,3.2043,0.3367,21.9,17.2
253,98,0.4173,1480.0000,0.3295,0.4509,0.4386,0.073436,-0.463263,3.3236,0.3219,21.6,17.0
254,98,0.4157,1490.0000,0.3295,0.4487,0.4362,0.073641,-0.478252,3.3280,0.3003,22.0,17.3
255,98,0.4145,1499.0000,0.3290,0.4462,0.4357,0.085745,-0.513467,3.3248,0.3426,21.5,16.8
256,97,0.4132,1508.0000,0.3284,0.4450,0.4338,0.107331,-0.426377,2.9525,0.3889,21.8,16.3
257,97,0.4116,1518.0000,0.3279,0.4433,0.4315,0.115797,-0.504460,3.3605,0.3604,22.1,16.6
258,97,0.4100,1528.0000,0.3274,0.4416,0.4292,0.144068,-0.532224,3.3083,0.3248,21.9,16.7
259,98,0.4085,1538.0000,0.3258,0.4403,0.4274,0.156226,-0.648229,3.4797,0.3085,21.9,17.0
260,98,0.4069,1548.0000,0.3247,0.4378,0.4264,0.146989,-0.735799,3.6623,0.3462,21.5,16.9
261,98,0.4053,1558.0000,0.3226,0.4366,0.4251,0.144717,-0.823772,3.7275,0.3388,21.9,16.9
