batch_idx,n_problems,n_with_icl,n_accepted,avg_greedy_reward,cumulative_regret,kl_loss,gen_time_s,oracle_time_s,train_time_s,peak_vram_gb
0,10,0,4,0.4000,6.0000,0.093405,30.1,0.8,27.6,37.3
1,10,10,5,0.4000,12.0000,0.069565,12.4,0.4,39.0,41.8
2,10,10,8,0.7333,14.6667,0.055869,14.1,10.6,69.9,54.8
3,10,10,3,0.3667,21.0000,0.042570,15.5,1.0,83.3,58.8
4,10,10,1,0.0833,30.1667,0.030811,18.1,0.6,85.1,60.1
5,10,10,5,0.4167,36.0000,0.024283,10.7,0.6,112.0,66.7
6,10,10,5,0.4250,41.7500,0.020572,11.1,0.6,118.2,73.4
7,10,10,5,0.5000,46.7500,0.018798,13.8,0.6,134.3,80.0
8,10,10,3,0.3333,53.4167,0.014099,16.2,0.5,149.1,84.0
9,10,10,4,0.3750,59.6667,0.013406,18.3,0.6,189.3,89.3
10,10,10,6,0.6667,63.0000,0.013157,15.6,0.5,196.6,92.0
11,10,10,6,0.6000,67.0000,0.014820,22.5,50.6,199.6,93.3
12,10,10,3,0.3583,73.4167,0.016276,14.8,0.6,161.8,93.3
13,10,10,2,0.2333,81.0833,0.016049,19.3,10.6,163.5,93.3
14,10,10,6,0.6250,84.8333,0.016695,22.6,0.5,209.9,93.3
15,10,10,4,0.3833,91.0000,0.017895,34.7,0.6,202.5,93.3
16,10,10,8,0.6333,94.6667,0.019012,13.8,10.6,339.7,96.2
17,10,10,6,0.5000,99.6667,0.018096,15.3,10.8,225.4,97.6
18,10,10,2,0.1500,108.1667,0.013727,28.2,0.5,218.2,97.6
19,10,10,5,0.4333,113.8333,0.013691,14.0,0.7,205.5,97.6
20,10,10,5,0.4833,119.0000,0.053812,16.0,4.2,21.9,40.7
21,10,10,3,0.2333,126.6667,0.042024,18.9,4.1,50.2,43.4
22,10,10,5,0.4167,132.5000,0.047391,30.3,4.8,75.2,49.9
23,10,10,4,0.4000,138.5000,0.032147,23.8,3.9,100.9,55.4
24,10,10,3,0.3000,145.5000,0.025125,15.9,3.7,205.9,59.4
25,10,10,3,0.3250,152.2500,0.020363,11.1,13.9,140.7,63.5
26,10,10,3,0.3000,159.2500,0.013673,14.9,4.3,162.8,67.6
27,10,10,2,0.3083,166.1667,0.015856,15.4,4.2,201.0,70.3
28,10,10,5,0.4667,171.5000,0.016237,18.9,3.9,268.3,77.1
29,10,10,3,0.3167,178.3333,0.010975,21.7,4.3,289.8,81.2
30,10,10,5,0.4167,184.1667,0.012123,19.5,4.3,289.2,81.2
31,10,10,4,0.3667,190.5000,0.014466,13.9,3.6,311.9,82.6
32,10,10,3,0.3083,197.4167,0.013052,16.1,4.5,213.3,82.6
33,10,10,6,0.6333,201.0833,0.011096,13.7,4.0,342.1,82.6
34,10,10,4,0.4000,207.0833,0.009296,22.8,12.9,301.6,83.9
35,10,10,6,0.5167,211.9167,0.011375,22.2,4.1,319.6,88.0
36,10,10,4,0.4833,217.0833,0.010588,22.4,4.8,325.2,89.4
37,10,10,3,0.3250,223.8333,0.011151,20.5,4.1,335.6,90.7
38,10,10,4,0.3767,230.0667,0.014354,11.9,14.7,155.1,90.7
39,10,10,4,0.4333,235.7333,0.019027,15.5,13.5,153.3,90.7
40,10,10,2,0.2667,243.0667,0.012032,27.5,3.4,157.3,90.7
41,10,10,4,0.4250,248.8167,0.013835,18.0,4.5,140.5,90.7
42,10,10,6,0.5917,252.9000,0.018070,22.9,9.0,161.5,90.7
43,10,10,2,0.2333,260.5667,0.018656,15.5,5.0,151.4,90.7
44,10,10,6,0.5000,265.5667,0.016277,14.7,3.8,153.9,90.7
45,10,10,3,0.2500,273.0667,0.016113,13.6,4.5,180.8,90.7
46,10,10,7,0.7333,275.7333,0.021102,22.0,4.3,169.1,90.7
47,10,10,7,0.6633,279.1000,0.016272,22.0,4.3,177.8,93.5
48,10,10,5,0.3500,285.6000,0.015899,53.3,14.4,247.3,94.8
49,10,10,5,0.5667,289.9333,0.013985,27.1,3.3,251.6,96.2
50,10,10,3,0.2000,297.9333,0.014901,11.7,43.6,260.1,97.6
51,10,10,6,0.5167,302.7667,0.017705,14.2,13.1,236.5,100.3
52,10,10,6,0.6000,306.7667,0.017076,19.8,23.0,225.4,100.3
53,10,10,3,0.3167,313.6000,0.012124,21.2,3.5,240.1,101.6
54,10,10,4,0.4000,319.6000,0.010333,15.5,2.9,263.8,101.6
55,10,10,5,0.4500,325.1000,0.011261,21.9,3.5,272.3,101.6
56,10,10,7,0.6500,328.6000,0.016193,14.1,3.6,245.9,101.6
57,10,10,3,0.3333,335.2667,0.011113,25.9,3.8,227.6,101.6
58,10,10,3,0.3667,341.6000,0.012866,8.8,4.6,161.1,101.6
59,10,10,5,0.5667,345.9333,0.009578,13.2,4.6,158.9,101.6
60,10,10,2,0.3000,352.9333,0.010548,19.6,4.3,172.0,101.6
61,10,10,6,0.5417,357.5167,0.012241,13.7,4.6,170.9,101.6
62,10,10,4,0.3333,364.1833,0.008975,23.1,33.0,167.9,101.6
63,10,10,2,0.2333,371.8500,0.010128,20.4,3.5,161.6,101.6
64,10,10,3,0.3333,378.5167,0.011537,22.7,3.3,158.6,101.6
65,10,10,7,0.6167,382.3500,0.010619,8.9,4.6,164.6,101.6
66,10,10,5,0.4500,387.8500,0.011238,15.3,3.9,147.7,101.6
67,10,10,5,0.4750,393.1000,0.009856,18.5,3.3,153.4,101.6
68,10,10,6,0.5667,397.4333,0.012199,10.6,4.4,163.6,101.6
69,10,10,8,0.7333,400.1000,0.013466,12.4,4.2,175.1,101.6
70,10,10,5,0.4000,406.1000,0.013481,15.6,4.6,208.8,101.6
71,10,10,6,0.5333,410.7667,0.015840,26.3,11.1,218.5,101.6
72,10,10,2,0.2333,418.4333,0.014973,16.0,13.4,365.2,101.6
73,10,10,5,0.4250,424.1833,0.011041,24.6,4.8,506.4,103.0
74,10,10,5,0.4667,429.5167,0.012664,18.1,4.4,552.2,105.7
75,10,10,3,0.3917,435.6000,0.010746,17.8,5.9,250.6,105.7
76,10,10,4,0.3917,441.6833,0.010542,21.0,13.8,572.0,105.7
77,10,10,2,0.3333,448.3500,0.010014,10.4,4.6,259.4,105.7
78,10,10,3,0.3333,455.0167,0.014148,20.2,3.7,533.3,105.7
79,10,10,6,0.5583,459.4333,0.015414,14.7,14.5,546.5,105.7
80,10,10,5,0.4833,464.6000,0.015304,14.7,3.7,282.5,105.7
81,10,10,3,0.3250,471.3500,0.011458,16.2,4.4,212.8,105.7
82,10,10,7,0.6750,474.6000,0.010881,8.8,4.5,483.2,105.7
83,10,10,6,0.6667,477.9333,0.012379,11.5,4.3,493.4,105.7
84,10,10,3,0.2500,485.4333,0.010690,21.1,3.5,213.2,105.7
85,10,10,1,0.1667,493.7667,0.009052,20.7,26.2,205.2,105.7
86,10,10,6,0.5167,498.6000,0.010375,25.8,33.3,213.1,105.7
87,10,10,1,0.1167,507.4333,0.013771,20.7,3.5,195.8,105.7
88,10,10,4,0.5667,511.7667,0.012136,13.6,24.1,194.1,105.7
89,10,10,3,0.3583,518.1833,0.009291,53.2,4.1,165.6,105.7
90,10,10,3,0.3167,525.0167,0.010042,16.8,4.8,146.8,105.7
91,10,10,7,0.6000,529.0167,0.014416,23.1,14.3,161.6,105.7
92,10,10,5,0.5417,533.6000,0.011724,23.0,4.2,183.2,105.7
93,10,10,5,0.5500,538.1000,0.015674,53.4,3.4,185.3,105.7
94,10,10,7,0.7167,540.9333,0.017550,15.7,4.2,187.9,105.7
95,10,10,3,0.3667,547.2667,0.008658,53.2,4.6,204.6,105.7
96,10,10,6,0.6333,550.9333,0.015423,23.6,4.3,196.8,105.7
97,10,10,4,0.4333,556.6000,0.009802,16.2,3.7,297.9,105.7
98,10,10,5,0.5167,561.4333,0.008593,21.5,14.2,196.8,105.7
99,10,10,5,0.4667,566.7667,0.010112,15.1,4.2,222.4,105.7
100,10,10,7,0.6000,570.7667,0.012660,14.0,10.5,239.6,105.7
101,10,10,7,0.7250,573.5167,0.012223,16.1,0.6,239.8,105.7
102,10,10,5,0.5167,578.3500,0.007506,12.0,0.6,198.7,105.7
103,10,10,5,0.5167,583.1833,0.008749,10.6,0.6,198.6,105.7
104,10,10,5,0.3500,589.6833,0.008625,12.5,0.6,249.6,105.7
