batch_idx,n_new,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
78,10,0.4367,445.0000,0.3333,0.4927,0.4806,0,0,0,0.000000,345,1.3,0.0,0.0
79,10,0.4363,451.0000,0.3295,0.4946,0.4809,0,0,0,0.000000,349,2.0,0.0,0.0
80,10,0.4383,455.0000,0.3295,0.4964,0.4851,0,0,0,0.000000,355,1.5,0.0,0.0
81,10,0.4390,460.0000,0.3333,0.5000,0.4797,0,0,0,0.000000,360,1.4,0.0,0.0
82,10,0.4398,465.0000,0.3370,0.5000,0.4800,0,0,0,0.000000,365,3.5,0.0,0.0
83,10,0.4417,469.0000,0.3382,0.5035,0.4801,0,0,0,0.000000,371,1.6,0.0,0.0
84,10,0.4388,477.0000,0.3381,0.5000,0.4750,0,0,0,0.000000,373,1.6,0.0,0.0
85,10,0.4407,481.0000,0.3416,0.5000,0.4772,0,0,0,0.000000,379,3.2,0.0,0.0
86,10,0.4379,489.0000,0.3404,0.4966,0.4740,0,0,0,0.000000,381,2.4,0.0,0.0
87,10,0.4375,495.0000,0.3368,0.5000,0.4728,0,0,0,0.000000,385,3.9,0.0,0.0
88,10,0.4393,499.0000,0.3379,0.5000,0.4781,0,0,0,0.000000,391,2.4,0.0,0.0
89,10,0.4367,507.0000,0.3367,0.5000,0.4733,0,0,0,0.000000,393,2.4,0.0,0.0
