batch_idx,n_new,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
0,10,0.4000,6.0000,0.5000,0.3333,0.5000,0,0,0,0.000000,0,1.5,0.0,0.0
1,10,0.4000,12.0000,0.1667,0.4545,0.6667,0,0,0,0.000000,0,1.6,0.0,0.0
2,10,0.3667,19.0000,0.1667,0.3750,0.5000,0,0,0,0.000000,0,0.9,0.0,0.0
3,10,0.4250,23.0000,0.3333,0.4000,0.5455,0,0,0,0.000000,0,1.1,0.0,0.0
4,10,0.4000,30.0000,0.2727,0.4167,0.4667,0,0,0,0.000000,0,11.6,0.0,0.0
5,10,0.3833,37.0000,0.3077,0.3793,0.4444,0,0,0,0.000000,0,2.7,0.0,0.0
6,10,0.4143,41.0000,0.2667,0.3750,0.5652,0,0,0,0.000000,0,6.7,0.0,0.0
7,10,0.4125,47.0000,0.2857,0.3714,0.5833,0,0,0,0.000000,0,9.7,0.0,0.0
8,10,0.4222,52.0000,0.2800,0.4054,0.5714,0,0,0,0.000000,0,2.1,0.0,0.0
9,10,0.4600,54.0000,0.2692,0.4103,0.6571,0,0,0,0.000000,0,7.6,0.0,0.0
10,10,0.4545,60.0000,0.2759,0.4186,0.6316,0,0,0,0.000000,0,6.7,0.0,0.0
11,10,0.4667,64.0000,0.2759,0.4286,0.6429,0,0,0,0.000000,0,1.3,0.0,0.0
12,10,0.4692,69.0000,0.2500,0.4615,0.6304,0,0,0,0.000000,0,3.2,0.0,0.0
13,10,0.4643,75.0000,0.2778,0.4364,0.6327,0,0,0,0.000000,0,1.3,0.0,0.0
14,10,0.4733,79.0000,0.2821,0.4464,0.6364,0,0,0,0.000000,0,1.5,0.0,0.0
15,10,0.4625,86.0000,0.2791,0.4333,0.6316,0,0,0,0.000000,0,4.7,0.0,0.0
16,10,0.4765,89.0000,0.3261,0.4462,0.6271,0,0,0,0.000000,0,2.8,0.0,0.0
17,10,0.4722,95.0000,0.3265,0.4348,0.6290,0,0,0,0.000000,0,4.0,0.0,0.0
18,10,0.4526,104.0000,0.3200,0.4133,0.6000,0,0,0,0.000000,0,3.1,0.0,0.0
19,10,0.4450,111.0000,0.3077,0.4051,0.5942,0,0,0,0.000000,0,4.6,0.0,0.0
20,10,0.4381,118.0000,0.3214,0.4000,0.5676,0,0,0,0.000000,0,4.9,0.0,0.0
21,10,0.4273,126.0000,0.3103,0.3929,0.5513,0,0,0,0.000000,0,1.7,0.0,0.0
22,10,0.4217,133.0000,0.3175,0.3953,0.5309,0,0,0,0.000000,0,2.8,0.0,0.0
23,10,0.4083,142.0000,0.2985,0.3977,0.5059,0,0,0,0.000000,0,12.2,0.0,0.0
24,10,0.3960,151.0000,0.2958,0.3804,0.4943,0,0,0,0.000000,0,4.3,0.0,0.0
25,10,0.3885,159.0000,0.2933,0.3684,0.4889,0,0,0,0.000000,0,8.6,0.0,0.0
26,10,0.3926,164.0000,0.3165,0.3636,0.4891,0,0,0,0.000000,0,1.6,0.0,0.0
27,10,0.4071,166.0000,0.3333,0.3786,0.5000,0,0,0,0.000000,0,1.2,0.0,0.0
28,10,0.4172,169.0000,0.3294,0.4074,0.5052,0,0,0,0.000000,0,1.2,0.0,0.0
29,10,0.4267,172.0000,0.3409,0.4144,0.5149,0,0,0,0.000000,0,1.8,0.0,0.0
30,10,0.4258,178.0000,0.3478,0.4107,0.5094,0,0,0,0.000000,0,5.4,0.0,0.0
31,10,0.4313,182.0000,0.3571,0.4159,0.5138,0,0,0,0.000000,0,13.3,0.0,0.0
32,10,0.4273,189.0000,0.3592,0.4103,0.5091,0,0,0,0.000000,0,10.6,0.0,0.0
33,10,0.4265,195.0000,0.3524,0.4016,0.5221,0,0,0,0.000000,0,1.4,0.0,0.0
34,10,0.4229,202.0000,0.3426,0.4094,0.5130,0,0,0,0.000000,0,2.9,0.0,0.0
35,10,0.4278,206.0000,0.3482,0.4122,0.5214,0,0,0,0.000000,0,3.8,0.0,0.0
36,10,0.4270,212.0000,0.3509,0.4088,0.5210,0,0,0,0.000000,0,5.7,0.0,0.0
37,10,0.4263,218.0000,0.3448,0.4143,0.5161,0,0,0,0.000000,0,4.5,0.0,0.0
38,10,0.4282,223.0000,0.3361,0.4225,0.5238,0,0,0,0.000000,0,4.3,0.0,0.0
39,10,0.4300,228.0000,0.3440,0.4218,0.5234,0,0,0,0.000000,0,1.9,0.0,0.0
40,10,0.4244,236.0000,0.3386,0.4172,0.5152,0,0,0,0.000000,0,1.0,0.0,0.0
41,10,0.4214,243.0000,0.3359,0.4156,0.5111,0,0,0,0.000000,0,2.8,0.0,0.0
42,10,0.4233,248.0000,0.3284,0.4268,0.5108,0,0,0,0.000000,0,3.2,0.0,0.0
43,10,0.4295,251.0000,0.3333,0.4417,0.5070,0,0,0,0.000000,0,1.2,0.0,0.0
44,10,0.4267,258.0000,0.3286,0.4405,0.5070,0,0,0,0.000000,0,6.5,0.0,0.0
45,10,0.4261,264.0000,0.3217,0.4425,0.5105,0,0,0,0.000000,0,1.8,0.0,0.0
46,10,0.4234,271.0000,0.3197,0.4463,0.5000,0,0,0,0.000000,0,14.4,0.0,0.0
47,10,0.4229,277.0000,0.3154,0.4420,0.5067,0,0,0,0.000000,0,5.4,0.0,0.0
48,10,0.4204,284.0000,0.3117,0.4432,0.5033,0,0,0,0.000000,0,7.4,0.0,0.0
49,10,0.4180,291.0000,0.3082,0.4385,0.5065,0,0,0,0.000000,0,2.1,0.0,0.0
