batch_idx,n_new,acc_running,cumulative_regret,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
0,10,0.7000,3.0000,0,0,7,0.113057,7,3.8,0.0,12.0
1,10,0.7000,6.0000,10,0,14,0.083743,14,2.9,3.4,15.9
2,10,0.7333,8.0000,20,0,22,0.057494,22,2.9,6.3,21.5
3,10,0.7750,9.0000,30,1,32,0.057292,32,2.0,9.2,28.6
4,10,0.7600,12.0000,40,3,42,0.071736,42,2.5,11.8,37.1
5,10,0.7833,13.0000,50,0,51,0.040336,51,3.3,15.4,45.2
6,10,0.7714,16.0000,60,0,58,0.047464,58,4.6,17.9,43.7
7,10,0.7500,20.0000,70,1,65,0.026512,65,6.5,25.1,56.7
8,10,0.7444,23.0000,80,0,72,0.036665,72,3.8,28.9,48.4
9,10,0.7500,25.0000,90,1,81,0.041118,81,3.7,31.9,59.6
10,10,0.7545,27.0000,90,1,82,0.024043,90,3.6,31.9,62.8
11,10,0.7750,27.0000,90,0,84,0.013476,100,2.3,31.4,58.8
12,10,0.7923,27.0000,90,1,85,0.011705,111,3.7,31.3,60.2
13,10,0.7786,31.0000,90,0,81,0.011527,117,3.8,33.0,62.1
14,10,0.7800,33.0000,90,0,82,0.010808,125,3.9,35.0,60.5
15,10,0.7750,36.0000,90,0,80,0.010039,132,3.3,35.7,63.7
16,10,0.7824,37.0000,90,2,83,0.013788,143,4.5,31.0,62.2
17,10,0.7722,41.0000,90,0,83,0.008611,149,3.7,30.6,60.7
18,10,0.7632,45.0000,90,0,81,0.014666,155,3.1,33.0,59.9
19,10,0.7700,46.0000,90,0,81,0.014091,164,2.8,32.9,62.4
20,10,0.7667,49.0000,90,0,80,0.011063,171,4.5,31.7,61.8
21,10,0.7636,52.0000,90,0,77,0.013847,178,3.1,34.6,61.1
22,10,0.7652,54.0000,90,2,77,0.014273,188,2.7,32.4,56.3
23,10,0.7667,56.0000,90,0,78,0.010257,196,4.9,30.5,63.7
24,10,0.7640,59.0000,90,1,78,0.006320,204,2.9,31.8,60.6
25,10,0.7577,63.0000,90,0,76,0.006951,210,2.3,31.0,64.6
26,10,0.7630,64.0000,90,1,77,0.013891,220,4.0,27.1,59.8
27,10,0.7607,67.0000,90,0,78,0.006232,227,4.5,28.6,54.7
28,10,0.7690,67.0000,90,1,82,0.007687,238,3.3,28.9,58.7
29,10,0.7733,68.0000,90,0,82,0.003359,247,3.8,28.2,58.7
30,10,0.7742,70.0000,90,0,83,0.012821,255,4.5,29.8,63.8
31,10,0.7781,71.0000,90,1,85,0.015339,265,3.4,30.8,62.1
32,10,0.7727,75.0000,90,0,82,0.005278,271,4.1,31.9,58.4
33,10,0.7735,77.0000,90,0,81,0.004728,279,4.1,29.9,59.0
34,10,0.7714,80.0000,90,1,82,0.006717,287,5.3,31.6,57.2
35,10,0.7778,80.0000,90,2,87,0.008387,299,2.0,33.6,62.2
36,10,0.7784,82.0000,90,0,86,0.011662,307,3.8,31.8,60.5
37,10,0.7789,84.0000,90,0,86,0.008113,315,5.0,31.5,61.7
38,10,0.7769,87.0000,90,0,83,0.011371,322,3.2,33.4,62.9
39,10,0.7800,88.0000,90,0,82,0.008298,331,3.5,33.8,61.6
40,10,0.7732,93.0000,90,1,79,0.009335,337,6.6,32.2,63.8
41,10,0.7762,94.0000,90,0,79,0.007793,346,3.2,35.8,60.8
42,10,0.7791,95.0000,90,0,82,0.007639,355,3.0,34.9,61.5
43,10,0.7795,97.0000,90,1,83,0.005713,364,2.2,34.3,62.4
44,10,0.7822,98.0000,90,0,84,0.009536,373,3.0,32.6,49.3
45,10,0.7804,101.0000,90,0,81,0.005257,380,4.6,34.0,57.6
46,10,0.7787,104.0000,90,0,79,0.004738,387,3.2,33.3,49.9
47,10,0.7812,105.0000,90,2,82,0.008819,398,2.9,31.9,56.5
48,10,0.7735,111.0000,90,0,78,0.005743,402,4.2,31.0,60.6
49,10,0.7760,112.0000,90,0,78,0.005711,411,3.6,32.2,54.4
50,10,0.7804,112.0000,90,0,83,0.005179,421,3.0,30.3,44.4
51,10,0.7827,113.0000,90,0,83,0.003975,430,4.7,28.1,42.9
52,10,0.7830,115.0000,90,1,83,0.003351,439,2.2,29.8,43.6
53,10,0.7852,116.0000,90,0,82,0.005847,448,2.9,29.4,44.5
54,10,0.7891,116.0000,90,0,83,0.011252,458,3.4,29.7,44.1
55,10,0.7893,118.0000,90,1,85,0.007614,467,5.3,28.9,66.9
56,10,0.7877,121.0000,90,0,84,0.006400,474,3.2,31.0,55.0
57,10,0.7897,122.0000,90,0,84,0.004526,483,3.0,31.3,54.9
58,10,0.7898,124.0000,90,0,88,0.006032,491,2.7,30.0,64.1
59,10,0.7883,127.0000,90,1,87,0.019462,499,4.5,29.3,47.3
60,10,0.7869,130.0000,90,0,84,0.005845,506,3.5,31.2,61.5
61,10,0.7839,134.0000,90,0,81,0.006320,512,5.0,30.1,63.4
62,10,0.7810,138.0000,90,1,79,0.004713,519,4.5,33.2,62.2
63,10,0.7812,140.0000,90,1,79,0.005678,528,4.7,35.0,64.9
64,10,0.7800,143.0000,90,2,78,0.003155,537,5.5,35.2,65.0
65,10,0.7818,144.0000,90,1,80,0.003999,547,3.6,35.9,59.9
66,10,0.7836,145.0000,90,0,81,0.004713,556,3.4,36.6,62.1
67,10,0.7809,149.0000,90,0,78,0.003865,562,4.7,33.5,61.9
68,10,0.7797,152.0000,90,1,77,0.004837,570,2.9,37.3,63.8
69,10,0.7800,154.0000,90,0,78,0.009723,578,3.5,34.2,63.0
70,10,0.7817,155.0000,90,1,80,0.004129,588,4.0,32.2,63.2
71,10,0.7792,159.0000,90,0,79,0.003777,594,5.4,32.6,65.5
72,10,0.7808,160.0000,90,0,81,0.008462,603,3.3,33.6,65.9
73,10,0.7770,165.0000,90,0,77,0.002432,608,5.1,31.9,67.7
74,10,0.7800,165.0000,90,1,80,0.002930,619,3.6,32.5,68.0
75,10,0.7789,168.0000,90,0,77,0.004707,626,3.9,33.1,67.4
76,10,0.7779,171.0000,90,0,75,0.003825,633,3.9,34.4,59.6
77,10,0.7769,174.0000,90,0,76,0.003147,640,4.0,33.4,68.7
78,10,0.7797,174.0000,90,1,80,0.003023,651,4.3,34.7,68.2
79,10,0.7788,177.0000,90,0,79,0.003766,658,3.1,35.7,68.1
80,10,0.7802,178.0000,90,0,79,0.010015,667,3.2,37.8,67.1
81,10,0.7805,180.0000,90,2,82,0.016793,677,3.6,32.7,57.0
82,10,0.7795,183.0000,90,0,80,0.016821,684,4.6,33.0,58.0
83,10,0.7810,184.0000,90,0,83,0.008381,693,3.6,33.9,60.2
84,10,0.7812,186.0000,90,1,82,0.005578,702,2.9,34.3,58.9
85,10,0.7814,188.0000,90,0,83,0.006303,710,3.3,31.3,58.8
86,10,0.7782,193.0000,90,0,79,0.007556,715,3.1,31.5,57.0
87,10,0.7795,194.0000,90,0,80,0.006043,724,3.5,31.2,52.8
88,10,0.7809,195.0000,90,0,79,0.002874,733,3.6,29.2,49.8
89,10,0.7811,197.0000,90,0,80,0.004069,741,3.6,30.9,57.5
90,10,0.7813,199.0000,90,1,80,0.004277,750,3.2,29.9,62.9
91,10,0.7804,202.0000,90,1,80,0.003752,758,4.0,30.6,61.7
92,10,0.7774,207.0000,90,2,79,0.002319,765,4.8,29.2,58.8
93,10,0.7787,208.0000,90,0,79,0.004019,774,3.0,30.2,57.3
94,10,0.7768,212.0000,90,1,78,0.002409,781,3.4,30.5,57.9
95,10,0.7792,212.0000,90,0,80,0.001749,791,2.8,31.0,58.9
96,10,0.7814,212.0000,90,0,84,0.003067,801,4.1,30.7,61.1
