step,db_id,correct,cumulative_regret
0,warehouse_1,0,1.0000
1,book_1,1,1.0000
2,vehicle_driver,0,2.0000
3,vehicle_rent,1,2.0000
4,book_review,1,2.0000
5,e_commerce,0,3.0000
6,book_review,1,3.0000
7,book_1,1,3.0000
8,cre_Doc_Workflow,1,3.0000
9,art_1,0,4.0000
10,soccer_3,1,4.0000
11,book_review,0,5.0000
12,book_press,1,5.0000
13,movie_2,1,5.0000
14,book_review,1,5.0000
15,real_estate_rentals,1,5.0000
16,advertising_agencies,1,5.0000
17,university_rank,1,5.0000
18,pilot_1,0,6.0000
19,address_1,1,6.0000
20,pilot_1,0,7.0000
21,video_game,1,7.0000
22,cre_Doc_and_collections,1,7.0000
23,art_1,1,7.0000
24,movie_2,1,7.0000
25,pilot_1,1,7.0000
26,soccer_3,1,7.0000
27,boat_1,1,7.0000
28,vehicle_driver,1,7.0000
29,pilot_1,1,7.0000
30,warehouse_1,1,7.0000
31,cre_Doc_and_collections,1,7.0000
32,cre_Doc_Workflow,1,7.0000
33,university_rank,1,7.0000
34,customers_and_orders,1,7.0000
35,institution_sports,1,7.0000
36,warehouse_1,1,7.0000
37,car_racing,1,7.0000
38,planet_1,1,7.0000
39,country_language,1,7.0000
40,art_1,0,8.0000
41,government_shift,0,9.0000
42,online_exams,1,9.0000
43,region_building,1,9.0000
44,pilot_1,1,9.0000
45,restaurant_bills,1,9.0000
46,planet_1,0,10.0000
47,art_1,1,10.0000
48,advertising_agencies,1,10.0000
49,sing_contest,1,10.0000
50,university_rank,1,10.0000
51,boat_1,0,11.0000
52,e_commerce,1,11.0000
53,book_review,1,11.0000
54,vehicle_rent,1,11.0000
55,book_review,1,11.0000
56,planet_1,1,11.0000
57,cre_Doc_and_collections,1,11.0000
58,advertising_agencies,1,11.0000
59,movie_2,1,11.0000
60,car_road_race,1,11.0000
61,bakery_1,0,12.0000
62,aan_1,0,13.0000
63,car_racing,1,13.0000
64,movie_2,0,14.0000
65,cre_Students_Information_Systems,0,15.0000
66,art_1,1,15.0000
67,conference,1,15.0000
68,country_language,1,15.0000
69,customers_and_orders,1,15.0000
70,bakery_1,0,16.0000
71,car_road_race,1,16.0000
72,cre_Doc_and_collections,0,17.0000
73,cre_Doc_and_collections,0,18.0000
74,restaurant_bills,0,19.0000
75,boat_1,1,19.0000
76,bakery_1,1,19.0000
77,government_shift,0,20.0000
78,book_review,1,20.0000
79,country_language,1,20.0000
80,bakery_1,0,21.0000
81,movie_2,0,22.0000
82,art_1,1,22.0000
83,advertising_agencies,1,22.0000
84,advertising_agencies,0,23.0000
85,car_racing,1,23.0000
86,vehicle_rent,1,23.0000
87,advertising_agencies,1,23.0000
88,cre_Doc_and_collections,1,23.0000
89,boat_1,1,23.0000
90,soccer_3,1,23.0000
91,country_language,1,23.0000
92,cre_Doc_and_collections,0,24.0000
93,e_commerce,1,24.0000
94,car_racing,1,24.0000
95,real_estate_rentals,0,25.0000
96,customers_and_orders,1,25.0000
97,book_review,1,25.0000
98,book_press,0,26.0000
99,planet_1,1,26.0000
100,e_commerce,1,26.0000
101,e_commerce,1,26.0000
102,boat_1,0,27.0000
103,cre_Students_Information_Systems,0,28.0000
104,club_leader,1,28.0000
105,aan_1,0,29.0000
106,boat_1,1,29.0000
107,customers_and_orders,1,29.0000
108,art_1,1,29.0000
109,advertising_agencies,1,29.0000
110,address_1,1,29.0000
111,art_1,1,29.0000
112,country_language,1,29.0000
113,car_racing,1,29.0000
114,soccer_3,1,29.0000
115,customers_and_orders,1,29.0000
116,online_exams,1,29.0000
117,cre_Doc_and_collections,1,29.0000
118,book_press,1,29.0000
119,book_press,0,30.0000
120,car_racing,1,30.0000
121,warehouse_1,1,30.0000
122,art_1,1,30.0000
123,boat_1,1,30.0000
124,aan_1,1,30.0000
125,e_commerce,0,31.0000
126,car_racing,1,31.0000
127,warehouse_1,1,31.0000
128,planet_1,1,31.0000
129,country_language,1,31.0000
130,vehicle_driver,0,32.0000
131,real_estate_rentals,0,33.0000
132,real_estate_rentals,0,34.0000
133,cre_Students_Information_Systems,0,35.0000
134,real_estate_rentals,0,36.0000
135,tv_shows,1,36.0000
136,warehouse_1,1,36.0000
137,warehouse_1,1,36.0000
138,bakery_1,1,36.0000
139,book_1,1,36.0000
140,cre_Students_Information_Systems,0,37.0000
141,aan_1,1,37.0000
142,restaurant_bills,1,37.0000
143,video_game,1,37.0000
144,bakery_1,1,37.0000
145,aan_1,1,37.0000
146,art_1,1,37.0000
147,movie_2,0,38.0000
148,cre_Students_Information_Systems,1,38.0000
149,institution_sports,1,38.0000
150,e_commerce,0,39.0000
151,headphone_store,1,39.0000
152,book_1,1,39.0000
153,pilot_1,0,40.0000
154,art_1,1,40.0000
155,bakery_1,0,41.0000
156,conference,1,41.0000
157,customers_and_orders,1,41.0000
158,book_review,1,41.0000
159,warehouse_1,0,42.0000
160,pilot_1,1,42.0000
161,bakery_1,1,42.0000
162,cre_Doc_Workflow,1,42.0000
163,cre_Doc_and_collections,0,43.0000
164,bbc_channels,1,43.0000
165,institution_sports,1,43.0000
166,online_exams,1,43.0000
167,real_estate_rentals,1,43.0000
168,region_building,1,43.0000
169,region_building,1,43.0000
170,real_estate_rentals,0,44.0000
171,cre_Students_Information_Systems,1,44.0000
172,book_press,1,44.0000
173,cre_Doc_Workflow,1,44.0000
174,book_press,0,45.0000
175,boat_1,0,46.0000
176,university_rank,0,47.0000
177,club_leader,1,47.0000
178,boat_1,1,47.0000
179,region_building,1,47.0000
180,book_press,0,48.0000
181,real_estate_rentals,1,48.0000
182,boat_1,1,48.0000
183,movie_2,1,48.0000
184,institution_sports,0,49.0000
185,aan_1,0,50.0000
186,bakery_1,1,50.0000
187,conference,1,50.0000
188,customers_and_orders,1,50.0000
189,book_1,1,50.0000
190,country_language,1,50.0000
191,pilot_1,1,50.0000
192,car_road_race,1,50.0000
193,book_1,1,50.0000
194,real_estate_rentals,1,50.0000
195,movie_2,1,50.0000
196,book_press,1,50.0000
197,warehouse_1,1,50.0000
198,warehouse_1,0,51.0000
199,bbc_channels,1,51.0000
200,cre_Doc_and_collections,0,52.0000
201,book_1,1,52.0000
202,car_racing,1,52.0000
203,restaurant_bills,1,52.0000
204,book_review,1,52.0000
205,boat_1,0,53.0000
206,customers_and_orders,1,53.0000
207,warehouse_1,0,54.0000
208,bakery_1,0,55.0000
209,e_commerce,0,56.0000
210,pilot_1,1,56.0000
211,car_road_race,1,56.0000
212,art_1,1,56.0000
213,address_1,0,57.0000
214,aan_1,0,58.0000
215,art_1,1,58.0000
216,real_estate_rentals,1,58.0000
217,address_1,0,59.0000
218,advertising_agencies,1,59.0000
219,cre_Doc_and_collections,0,60.0000
220,vehicle_driver,1,60.0000
221,art_1,0,61.0000
222,cre_Doc_and_collections,1,61.0000
223,customers_and_orders,1,61.0000
224,institution_sports,1,61.0000
225,art_1,1,61.0000
226,pilot_1,1,61.0000
227,bakery_1,0,62.0000
228,boat_1,0,63.0000
229,sing_contest,1,63.0000
230,aan_1,1,63.0000
231,cre_Doc_and_collections,1,63.0000
232,e_commerce,0,64.0000
233,planet_1,1,64.0000
234,advertising_agencies,1,64.0000
235,bike_racing,1,64.0000
236,cre_Students_Information_Systems,1,64.0000
237,bakery_1,0,65.0000
238,video_game,1,65.0000
239,pilot_1,0,66.0000
240,movie_2,1,66.0000
241,bike_racing,0,67.0000
242,country_language,1,67.0000
243,soccer_3,1,67.0000
244,customers_and_orders,1,67.0000
245,club_leader,0,68.0000
246,bakery_1,1,68.0000
247,art_1,1,68.0000
248,aan_1,0,69.0000
249,bike_racing,1,69.0000
250,advertising_agencies,1,69.0000
251,art_1,0,70.0000
252,book_1,1,70.0000
253,address_1,1,70.0000
254,boat_1,0,71.0000
255,car_road_race,1,71.0000
256,pilot_1,1,71.0000
257,district_spokesman,1,71.0000
258,boat_1,1,71.0000
259,soccer_3,1,71.0000
260,car_road_race,1,71.0000
261,real_estate_rentals,1,71.0000
262,cre_Doc_and_collections,0,72.0000
263,book_1,1,72.0000
264,planet_1,1,72.0000
265,pilot_1,1,72.0000
266,headphone_store,1,72.0000
267,car_racing,1,72.0000
268,car_road_race,1,72.0000
269,pilot_1,1,72.0000
270,bakery_1,1,72.0000
271,art_1,1,72.0000
272,pilot_1,0,73.0000
273,address_1,1,73.0000
274,warehouse_1,0,74.0000
275,headphone_store,1,74.0000
276,boat_1,1,74.0000
277,vehicle_rent,1,74.0000
278,government_shift,0,75.0000
279,aan_1,1,75.0000
280,university_rank,1,75.0000
281,planet_1,1,75.0000
282,video_game,1,75.0000
283,aan_1,1,75.0000
284,customers_and_orders,1,75.0000
285,institution_sports,1,75.0000
286,conference,1,75.0000
287,advertising_agencies,1,75.0000
288,bakery_1,0,76.0000
289,boat_1,1,76.0000
290,bike_racing,1,76.0000
291,e_commerce,1,76.0000
292,book_review,1,76.0000
